,Catchment,K,error_cal,error_val
0,1,5.94085693359375,0.9121634274578416,0.889496238328141
1,2,10.8526611328125,0.31712981164134957,0.2200863418484158
2,3,8.1571044921875,0.749099381563612,0.6593887907195533
3,4,5.65216064453125,0.9125230340732139,0.8648222209249725
4,5,9.73388671875,0.8584566427814022,0.7752781907134937
5,6,5.3687744140625,0.8862117806976385,0.8202522778616337
6,7,5.4931640625,0.826088277729254,0.7626429081141122
7,8,7.72509765625,0.8284899309189234,0.794152229828582
8,9,7.493896484375,0.8115963272285699,0.7628495885445291
9,10,9.20068359375,0.8174256308731207,0.8040424621136145
10,11,9.5703125,0.6632709529139974,0.6234505685030048
11,12,7.10272216796875,0.8959953822575528,0.8604377572447596
12,13,6.45361328125,0.9043762847310298,0.876079136096053
13,14,8.56463623046875,0.7674267843764352,0.6848815592920938
14,15,6.75482177734375,0.8538962768784952,0.8378955589792345
15,16,6.68609619140625,0.9303050566394354,0.9379111046794605
16,17,7.9530029296875,0.9451232183712979,0.9457694974407291
17,18,6.778076171875,0.9512495741632415,0.9535063174418335
18,19,6.2769775390625,0.9483947903181535,0.9525038567907884
19,20,4.68182373046875,0.8843647216538397,0.8601868576405717
20,21,4.16717529296875,0.880327803552303,0.8566577950605871
21,22,9.52880859375,0.8591942931453183,0.8481772554146942
22,23,6.41607666015625,0.8572657147828698,0.851251848968503
23,24,6.03497314453125,0.7584649839191355,0.6878470097621614
24,25,5.1947021484375,0.8902164982405052,0.8793829306447085
25,26,5.7127685546875,0.8446171296976749,0.8223320963456556
26,27,9.970947265625,0.7374357442819133,0.7233004710230685
27,28,8.88287353515625,0.6674463034151339,0.5644602820392273
28,29,9.82562255859375,0.898278579352795,0.8966437663501972
29,30,8.81439208984375,0.8973264436078436,0.9027165066139848
30,31,7.39453125,0.8834187654910506,0.905378905271903
31,32,6.77325439453125,0.8545542522689938,0.8306201508656217
