,Catchment,K,error_cal,error_val
0,1,6.578125,0.9001639017124333,0.8554099183560855
1,2,1954.06005859375,-0.3106660496442566,-0.6870385501215739
2,3,12.01165771484375,0.544583868448699,0.21989635110802974
3,4,6.32012939453125,0.8988740680947823,0.8095521506165625
4,5,12.20501708984375,0.7883849921335823,0.5920753057715102
5,6,6.2923583984375,0.8553897329343322,0.7093183520940259
6,7,7.50640869140625,0.7493561373793087,0.5833878610251507
7,8,10.5640869140625,0.7286254670158803,0.6666574568300598
8,9,10.47637939453125,0.7143376369726427,0.5831220390377693
9,10,12.59588623046875,0.7161714014136644,0.7060061208586684
10,11,17.271484375,0.22076861787020674,0.10948493973753248
11,12,8.27484130859375,0.8618087524338006,0.7935269616796672
12,13,7.31732177734375,0.8822371556316497,0.8276460234228388
13,14,12.28765869140625,0.6407018415905903,0.36551174949723153
14,15,8.474365234375,0.8074488656258701,0.7659179132546152
15,16,7.2288818359375,0.9253020149443563,0.9289429392499535
16,17,8.41748046875,0.9410614759993393,0.9392042676785385
17,18,7.1375732421875,0.9505635875796429,0.9494961222957479
18,19,6.63604736328125,0.9465926282255555,0.9466819112291769
19,20,5.3741455078125,0.8817811530082565,0.8094076158913942
20,21,4.7637939453125,0.8851561942553167,0.8024049545806606
21,22,11.6466064453125,0.8168716093327908,0.778305157314272
22,23,7.4971923828125,0.86510996303448,0.8091928907237593
23,24,9.7684326171875,0.5574072086760842,0.33498262855276284
24,25,5.92938232421875,0.882837108161521,0.8411618386687498
25,26,7.17169189453125,0.787972683958222,0.714146054560225
26,27,14.12335205078125,0.5574029542506834,0.5015950004861254
27,28,16.4537353515625,0.2380102157815377,-0.3161595467288796
28,29,11.14947509765625,0.8814157385994886,0.862371168614138
29,30,9.84130859375,0.8987800589413,0.879777593038508
30,31,8.52606201171875,0.8733811176112796,0.8830392406590494
31,32,8.45587158203125,0.8097508874206061,0.7455486321826117
