,Start time of weekly time step,MIKE SHE GW recharge (mm),MIKE SHE Baseflow (mm),MIKE SHE Storage change (mm),MIKE SHE Pumping (mm)
361,1995-12-04,0.7783000000001721,0.4361999999998716,-0.6542159999999999,0.9255999999999744
362,1995-12-11,0.8809999999998581,0.5402000000001408,-0.659888,0.9303000000000452
363,1995-12-18,-0.17399999999997817,0.46279999999978827,-1.633325,0.9254999999999995
364,1995-12-25,-0.32600000000002183,0.41600000000016735,-1.7427101999999999,0.9288999999999987
365,1996-01-01,-0.2480000000000473,0.3863000000001193,-1.5946178,0.8903999999999996
366,1996-01-08,3.717800000000125,0.5171999999997752,2.2402172,0.8883999999999901
367,1996-01-15,0.15399999999999636,0.5883000000001175,-1.3985142,0.8903999999999996
368,1996-01-22,-0.31799999999998363,0.48020000000019536,-1.761366,0.8885000000000218
369,1996-01-29,-0.3350000000000364,0.4219999999997981,-1.719226,0.8883999999999901
370,1996-02-05,-0.2660000000000764,0.38560000000006767,-1.6262100000000004,0.9002999999999588
371,1996-02-12,1.1616999999998825,0.3889999999998963,-0.20074399999999937,0.9004000000000474
372,1996-02-19,0.26900000000023283,0.4393000000000029,-1.1452210000000003,0.9002999999999588
373,1996-02-26,0.6693999999997686,0.4087000000001808,-0.714169,0.9003000000000156
374,1996-03-04,-0.27599999999983993,0.37760000000002947,-1.6295149999999996,0.9003000000000156
375,1996-03-11,-0.18070000000011532,0.35159999999996217,-1.5111039999999996,0.9003999999999905
376,1996-03-18,0.4672000000002754,0.33839999999986503,-0.8537000000000017,0.9003000000000156
377,1996-03-25,1.840099999999893,0.3747000000000753,0.4917700000000007,0.9003999999999905
378,1996-04-01,17.911599999999908,0.686200000000099,16.248215000000002,0.9003000000000156
379,1996-04-08,10.7804000000001,2.2981999999997242,7.4242349999999995,0.9002999999999588
380,1996-04-15,-0.94399999999996,1.4401000000002568,-3.552873,0.9003999999999905
381,1996-04-22,0.763899999999694,1.0545999999997093,-1.3064299999999998,0.9003000000000156
382,1996-04-29,0.6358999999999924,0.8763000000001284,-1.2587779999999995,0.9003000000000156
383,1996-05-06,0.26310000000012224,0.7403999999999087,-1.573017,0.9003999999999905
384,1996-05-13,0.4560999999998785,0.6488000000001648,-1.3550050000000002,0.9003000000000156
385,1996-05-20,2.286400000000185,0.6834999999998672,0.6270730000000002,0.9002999999999588
386,1996-05-27,0.8341000000000349,0.6647000000000389,-0.8167750000000003,0.9004000000000474
387,1996-06-03,-0.004200000000082582,0.5761999999999716,-2.0177994999999997,0.9002999999999588
388,1996-06-10,0.6684000000000196,0.5295000000000982,-1.2944508,0.9004000000000474
389,1996-06-17,0.2721999999998843,0.49139999999988504,-1.5273516999999999,0.9002999999999588
390,1996-06-24,-0.22759999999971114,0.4416000000001077,-2.0991429999999998,0.9003999999999905
391,1996-07-01,1.5054999999997563,0.43659999999977117,-0.013281000000000098,0.9003000000000156
392,1996-07-08,0.3692999999998392,0.44800000000032014,-1.2171029999999998,0.9003000000000156
393,1996-07-15,-0.16099999999960346,0.40089999999986503,-1.7292880000000004,0.9003999999999905
394,1996-07-22,-0.05390000000033979,0.3689999999999145,-1.5256170000000004,0.9003000000000156
395,1996-07-29,0.20659999999998035,0.35380000000009204,-1.210583999999999,0.9003000000000156
396,1996-08-05,-0.13069999999970605,0.3384000000000924,-1.5394870000000012,0.9003999999999905
397,1996-08-12,0.045699999999897045,0.3246999999998934,-1.3444099999999999,0.9002999999999588
398,1996-08-19,0.07660000000009859,0.31330000000002656,-1.2941599999999998,0.9003000000000156
399,1996-08-26,1.0536999999999352,0.3247999999998683,-0.293709999999999,0.9003999999999905
400,1996-09-02,0.16619999999988977,0.3164000000001579,-1.2976900000000011,0.9003000000000156
401,1996-09-09,0.5037999999999556,0.3110999999998967,-0.9169199999999993,0.9003000000000156
402,1996-09-16,0.11690000000021428,0.3040000000000873,-1.371780000000001,0.9003999999999905
403,1996-09-23,1.4874999999997272,0.2965999999998985,0.025900000000000034,0.9003000000000156
404,1996-09-30,-0.2565999999997075,0.3185000000000855,-1.6630000000000003,0.9003999999999905
405,1996-10-07,0.2884999999998854,0.2976000000001022,-1.0983400000000003,0.9003000000000156
406,1996-10-14,0.680299999999761,0.30359999999996035,-0.6450999999999993,0.9002999999999588
407,1996-10-21,1.8236000000001695,0.3147999999998774,0.46506000000000114,0.9003999999999905
408,1996-10-28,1.4125000000001364,0.3687999999999647,0.05343999999999838,0.9003000000000156
409,1996-11-04,5.123499999999922,0.5309999999999491,3.6088500000000003,0.9003999999999905
410,1996-11-11,3.3521999999998116,0.9161000000001422,1.45228,0.9003000000000156
411,1996-11-18,4.875200000000177,1.1790999999998348,2.710610000000001,0.9003000000000156
412,1996-11-25,6.515100000000075,1.1710000000000491,4.354606,0.9002999999999588
413,1996-12-02,5.751500000000078,1.8625999999999294,2.8921209999999995,0.9004000000000474
414,1996-12-09,3.984099999999671,1.6119000000001051,1.3737250000000003,0.9002999999999588
415,1996-12-16,2.155300000000125,1.588700000000017,-0.429894,0.9004000000000474
416,1996-12-23,-0.48299999999994725,1.1566000000000258,-2.6324080000000007,0.9002999999999588
417,1996-12-30,-0.43100000000004,0.8796999999999571,-2.3201669999999996,0.9195000000000277
418,1997-01-06,-0.362999999999829,0.6977999999999156,-2.074133,0.9259999999999877
419,1997-01-13,1.9546999999997752,0.6581000000003314,0.2819199999999995,0.9261000000000195
420,1997-01-20,-0.0905999999999949,0.5741999999997915,-1.681099999999999,0.9268999999999892
421,1997-01-27,-0.3680999999996857,0.495600000000195,-1.8790400000000016,0.9259999999999877
422,1997-02-03,9.161799999999857,0.9209999999998217,7.224877000000001,0.9261000000000195
423,1997-02-10,9.619699999999739,1.4878000000001066,7.1143765,0.9259999999999877
424,1997-02-17,18.253400000000283,2.8233000000000175,14.4064365,0.9268999999999892
425,1997-02-24,8.434999999999718,3.3459999999997763,4.028840000000001,0.9261000000000195
426,1997-03-03,-1.342899999999645,2.05170000000021,-4.450870000000002,0.9259999999999877
427,1997-03-10,-0.17580000000043583,1.439200000000028,-2.6357999999999997,0.9268999999999892
428,1997-03-17,-0.5324999999997999,1.151200000000017,-2.7015659999999997,0.9259999999999877
429,1997-03-24,1.687800000000152,1.0274999999999181,-0.35234699999999997,0.9261000000000195
430,1997-03-31,0.6790000000000873,0.935399999999845,-1.2780430000000003,0.9261000000000195
431,1997-04-07,0.2240999999999076,0.8482000000001335,-1.6439699999999995,0.9268999999999892
432,1997-04-14,-0.4256000000000313,0.7222999999999047,-2.2098970000000002,0.9259999999999877
433,1997-04-21,0.39409999999998035,0.6487999999999374,-1.3175762,0.9259999999999877
434,1997-04-28,1.2982999999999265,0.6415999999999258,-0.44119169999999996,0.9260000000000446
435,1997-05-05,1.2406999999998334,0.6460000000001855,-0.41655542,0.9269999999999641
436,1997-05-12,0.597700000000259,0.6312000000000353,-1.19260968,0.9259999999999877
437,1997-05-19,1.3912000000000262,0.6295999999999822,-0.24986200000000003,0.9260000000000446
438,1997-05-26,0.9286999999999352,0.6144999999999072,-1.0838420000000002,0.9268999999999892
439,1997-06-02,-0.0988999999999578,0.5071000000000367,-3.066225,0.9260999999999626
440,1997-06-09,-0.07700000000022555,0.4497000000001208,-2.518948999999999,0.9260000000000446
441,1997-06-16,0.5480999999999767,0.44029999999997926,-1.609598,0.9260999999999626
442,1997-06-23,2.7976000000001022,0.4741999999998825,1.114134,0.926900000000046
443,1997-06-30,0.8454000000001543,0.5473000000001775,-0.8618330000000007,0.9259999999999877
444,1997-07-07,0.02790000000004511,0.4818999999997686,-2.0025189999999995,0.9259999999999877
445,1997-07-14,0.14650000000006003,0.41640000000006694,-1.8621099999999995,0.9270000000000209
446,1997-07-21,1.9468999999999141,0.39640000000008513,0.21848999999999918,0.9259999999999877
447,1997-07-28,0.3061000000000149,0.44049999999992906,-1.267199999999999,0.9259999999999877
448,1997-08-04,0.22329999999988104,0.4152000000001408,-1.4215300000000006,0.9261000000000195
449,1997-08-11,-0.1430000000000291,0.3706999999999425,-1.6780399999999993,0.9268999999999892
450,1997-08-18,-0.12059999999974025,0.33780000000001564,-1.5970499999999994,0.9259999999999877
451,1997-08-25,0.7133999999996377,0.33549999999991087,-0.7034300000000009,0.9261000000000195
452,1997-09-01,0.6104000000000269,0.33789999999999054,-0.8445299999999989,0.9259999999999877
453,1997-09-08,0.6144000000003871,0.33390000000008513,-0.9114700000000013,0.9268999999999892
454,1997-09-15,0.01599999999962165,0.3207999999999629,-1.5745499999999986,0.9259999999999877
455,1997-09-22,-0.25,0.30139999999983047,-1.929590000000001,0.9261000000000195
456,1997-09-29,0.46840000000020154,0.29130000000009204,-0.9885799999999989,0.9268999999999892
457,1997-10-06,5.9164999999998145,0.41780000000017026,4.4582799999999985,0.9259999999999877
458,1997-10-13,2.880000000000109,0.7753999999997632,1.0894499999999994,0.9261000000000195
459,1997-10-20,0.7190000000000509,0.602900000000318,-0.8979999999999997,0.9259999999999877
460,1997-10-27,0.12780000000020664,0.5070999999998094,-1.392430000000001,0.9268999999999892
461,1997-11-03,3.4299999999998363,0.6154999999998836,1.7995800000000024,0.9261000000000195
462,1997-11-10,5.790099999999711,1.0063000000000102,3.76961,0.9259999999999877
463,1997-11-17,3.5892000000003463,1.2621000000001459,1.309759999999999,0.9260000000000446
464,1997-11-24,2.450199999999768,1.210700000000088,0.21927999999999948,0.9268999999999892
465,1997-12-01,1.915599999999813,1.1401999999998225,-0.2459100000000003,0.9251999999999612
466,1997-12-08,10.863400000000183,1.7303000000001703,8.107106000000002,0.9260000000000446
467,1997-12-15,0.24569999999994252,1.6964999999997872,-2.4781959999999996,0.9269999999999641
468,1997-12-22,17.611699999999928,2.406300000000101,14.184220999999999,0.9260000000000446
469,1997-12-29,18.63070000000016,3.3612000000000535,14.327359000000001,0.8561999999999443
470,1998-01-05,13.722400000000107,5.690200000000004,7.229209999999998,0.8128000000000384
471,1998-01-12,10.152799999999843,4.88149999999996,4.431709999999999,0.8136000000000081
472,1998-01-19,7.912299999999959,6.167700000000195,0.9911600000000007,0.8127000000000066
473,1998-01-26,-0.6811999999999898,3.792399999999816,-5.43478,0.8127999999999815
474,1998-02-02,22.67380000000003,5.434500000000071,16.363339999999997,0.8161000000000058
475,1998-02-09,26.157800000000407,9.209199999999782,16.315270000000005,0.8127999999999815
476,1998-02-16,3.886399999999412,9.705600000000004,-6.3963700000000046,0.8152999999999793
477,1998-02-23,2.453200000000379,6.000100000000202,-4.5605699999999985,0.8161000000000058
478,1998-03-02,43.63849999999957,14.139299999999821,29.066670000000002,0.8153000000000361
479,1998-03-09,-2.5380999999997584,11.067900000000009,-14.893830000000001,0.8152999999999793
480,1998-03-16,-2.623899999999594,6.468499999999949,-10.261780000000002,0.8161999999999807
481,1998-03-23,-2.314900000000307,3.997400000000198,-7.2729,0.8153000000000361
482,1998-03-30,40.55119999999988,7.288299999999708,32.351420000000005,0.8152000000000044
483,1998-04-06,4.8431000000000495,11.814000000000306,-8.151440000000008,0.8161999999999807
484,1998-04-13,1.6748999999999796,7.870499999999993,-7.835779999999993,0.8152999999999793
485,1998-04-20,-2.344699999999648,4.914800000000014,-8.401230000000005,0.8153000000000361
486,1998-04-27,-0.4588000000003376,3.743400000000065,-5.317769999999996,0.8161999999999807
487,1998-05-04,-0.7812999999996464,2.601199999999835,-4.370190000000001,0.8152000000000044
488,1998-05-11,-0.81020000000035,2.0173999999999523,-4.348309999999998,0.8152999999999793
489,1998-05-18,-1.0589999999997417,1.4700000000000273,-4.3889,0.8162000000000376
490,1998-05-25,-0.3407999999999447,1.2046000000000276,-3.653950000000002,0.8152999999999793
491,1998-06-01,-0.11120000000028085,1.0210000000001855,-3.1254300000000015,0.8152999999999793
492,1998-06-08,-0.015300000000024738,0.9367999999999483,-3.3511699999999998,0.8161000000000058
493,1998-06-15,1.497200000000248,0.8419999999998709,-1.6608400000000003,0.8153000000000361
494,1998-06-22,-0.08590000000049258,0.7996000000000549,-2.662209999999998,0.8152999999999793
495,1998-06-29,1.1075000000005275,0.8269999999999982,-0.7493499999999997,0.8161999999999807
496,1998-07-06,0.6821999999997388,0.779700000000048,-1.2686600000000006,0.8152000000000044
497,1998-07-13,1.1014000000000124,0.7780999999999949,-0.7769800000000018,0.8153000000000361
498,1998-07-20,0.5345999999999549,0.7389999999998054,-1.605769999999998,0.8161999999999807
499,1998-07-27,1.4493000000002212,0.7204000000001543,-0.27383999999999986,0.8152999999999793
500,1998-08-03,1.1826000000000931,0.720299999999952,-0.52285,0.8153000000000361
501,1998-08-10,0.19969999999966603,0.6717000000001008,-1.7750700000000013,0.8161000000000058
502,1998-08-17,0.1950000000001637,0.6234999999999218,-1.5523100000000003,0.8152999999999793
503,1998-08-24,0.6676000000002205,0.600400000000036,-0.9870190000000001,0.8152999999999793
504,1998-08-31,-0.00010000000020227162,0.5744999999999436,-1.8465429999999987,0.8162000000000376
505,1998-09-07,0.8425999999999476,0.5322000000001026,-0.7595560000000008,0.8152999999999793
506,1998-09-14,0.7735999999999876,0.5568999999998141,-0.7145679999999999,0.8152000000000044
507,1998-09-21,-0.07180000000016662,0.5150999999998476,-1.6067209999999994,0.8161999999999807
508,1998-09-28,0.39580000000023574,0.48470000000020264,-1.0414520000000005,0.8153000000000361
509,1998-10-05,1.6086999999997715,0.5037999999999556,0.19256200000000012,0.8152000000000044
510,1998-10-12,3.7395000000001346,0.6578000000001794,2.1789530000000004,0.8161999999999807
511,1998-10-19,8.758100000000013,0.9980999999997948,6.8569439999999995,0.8152999999999793
512,1998-10-26,20.544600000000173,3.133000000000038,16.50476,0.8153000000000361
513,1998-11-02,19.675199999999677,4.833699999999908,14.02554,0.8161999999999807
514,1998-11-09,23.059400000000096,7.307299999999941,15.075600000000001,0.8152000000000044
515,1998-11-16,-0.7055000000000291,6.166100000000142,-7.6854100000000045,0.8152999999999793
516,1998-11-23,5.061000000000149,4.43340000000012,-0.28367000000000075,0.8162000000000376
517,1998-11-30,-0.42099999999982174,3.779399999999896,-5.109359999999995,0.8152000000000044
518,1998-12-07,12.220699999999852,3.076999999999998,8.235529999999997,0.8152999999999793
519,1998-12-14,16.447999999999865,8.348700000000235,7.232510000000005,0.8161999999999807
520,1998-12-21,28.552900000000136,9.03189999999995,18.723529999999997,0.8153000000000361
521,1998-12-28,3.3180999999999585,10.871999999999844,-8.025800000000004,0.8147999999999911
522,1999-01-04,22.02599999999984,12.856000000000222,9.032350000000008,0.8149999999999977
523,1999-01-11,29.60640000000012,13.000299999999697,16.045469999999995,0.8141999999999712
524,1999-01-18,8.95199999999977,15.040300000000116,-5.832920000000001,0.814200000000028
525,1999-01-25,6.181500000000142,13.553800000000138,-7.048439999999999,0.8149999999999977
526,1999-02-01,9.042199999999866,11.027599999999893,-2.356650000000002,0.8141999999999712
527,1999-02-08,-2.836999999999989,7.143699999999853,-11.066360000000003,0.814200000000028
528,1999-02-15,21.06750000000011,7.549900000000207,12.599330000000009,0.8150999999999726
529,1999-02-22,12.158900000000358,10.186299999999846,1.4687200000000047,0.8141000000000531
530,1999-03-01,38.10369999999966,15.201900000000023,22.96884999999999,0.8141999999999712
531,1999-03-08,12.378099999999904,19.928800000000138,-6.091699999999989,0.8151000000000295
532,1999-03-15,-3.436200000000099,11.911799999999857,-16.39258000000001,0.8149999999999977
533,1999-03-22,-1.9610999999999876,7.444700000000012,-10.361909999999995,0.8149999999999977
534,1999-03-29,-3.7236999999995533,4.610699999999952,-9.346119999999999,0.8159999999999741
535,1999-04-05,-1.2203000000004067,3.243700000000217,-5.372380000000007,0.8158999999999992
536,1999-04-12,4.828300000000127,2.9564000000000306,0.9752300000000034,0.8158999999999992
537,1999-04-19,-0.8485000000000582,2.6568999999999505,-4.431649999999998,0.8158999999999992
538,1999-04-26,-1.5271999999995387,1.9256999999997788,-4.683070000000001,0.8158999999999992
539,1999-05-03,-0.8512000000000626,1.4466000000002168,-4.28284,0.8168000000000006
540,1999-05-10,3.5324999999998,1.4710999999997512,1.1564399999999964,0.8158999999999992
541,1999-05-17,-0.08320000000003347,1.3786000000000058,-2.453019999999995,0.8158999999999992
542,1999-05-24,-0.16509999999971114,1.1788000000001375,-2.982520000000001,0.8168000000000006
543,1999-05-31,1.325199999999768,1.0656000000001313,-1.1535200000000003,0.8168000000000006
544,1999-06-07,1.17450000000008,1.0957999999998265,-0.8537800000000004,0.8160000000000309
545,1999-06-14,0.23469999999997526,1.0041999999998552,-2.6781000000000006,0.8166999999999689
546,1999-06-21,-0.14859999999998763,0.9035000000003492,-2.753399999999999,0.8168000000000006
547,1999-06-28,1.0234000000000378,0.8753999999998996,-1.0807900000000004,0.8168000000000006
548,1999-07-05,-0.013200000000324508,0.8024000000000342,-2.773970000000002,0.8168000000000006
549,1999-07-12,0.7025000000003274,0.7310999999999694,-1.847459999999998,0.8177000000000021
550,1999-07-19,1.1995999999999185,0.7228999999997541,-1.1225900000000024,0.8167000000000257
551,1999-07-26,0.07099999999991269,0.6660000000001673,-2.909659999999999,0.8167999999999438
552,1999-08-02,0.8112999999998465,0.610300000000052,-2.0230700000000006,0.817600000000084
553,1999-08-09,2.4173000000000684,0.6238000000000739,0.5811400000000013,0.8167999999999438
554,1999-08-16,1.7716999999997824,0.7204999999999018,0.028420000000000556,0.8177000000000589
555,1999-08-23,0.7634000000002743,0.7354000000000269,-0.9506000000000014,0.8167999999999438
556,1999-08-30,0.8506999999999607,0.7037000000000262,-0.87894,0.8175999999999704
557,1999-09-06,-0.5300000000002001,0.6171999999999116,-2.501290000000001,0.8177000000000589
558,1999-09-13,-0.4201999999995678,0.5413999999998396,-2.2562299999999986,0.8175999999999704
559,1999-09-20,0.9754999999995562,0.5149000000001251,-0.6437099999999987,0.8177000000000589
560,1999-09-27,1.9985000000001492,0.5666000000001077,0.5151499999999984,0.8175999999999704
561,1999-10-04,2.671600000000126,0.618099999999913,1.136849999999999,0.8176999999999452
562,1999-10-11,0.6688999999996668,0.6458000000000084,-0.9046999999999983,0.8177000000000589
563,1999-10-18,0.4388000000003558,0.5844999999999345,-1.0532900000000005,0.8184999999999718
564,1999-10-25,0.6967999999997119,0.5579000000002452,-0.7680599999999984,0.8176999999999452
565,1999-11-01,-0.04999999999972715,0.515699999999697,-1.4750900000000016,0.817600000000084
566,1999-11-08,-0.24710000000004584,0.4716000000000804,-1.6294699999999995,0.8185999999999467
567,1999-11-15,0.06059999999979482,0.4493999999999687,-1.2961100000000005,0.8175999999999704
568,1999-11-22,0.15970000000015716,0.43830000000002656,-1.1864600000000003,0.8185000000000855
569,1999-11-29,6.172299999999723,0.6424999999999272,4.6226400000000005,0.8175999999999704
570,1999-12-06,24.487300000000687,2.1174000000000888,21.454700000000003,0.8185999999999467
571,1999-12-13,27.680599999999686,5.30359999999996,21.504739999999998,0.8185000000000855
572,1999-12-20,33.364700000000084,8.733300000000327,24.013450000000006,0.8185999999999467
573,1999-12-27,5.382999999999811,10.687899999999672,-5.6458900000000085,0.8361999999999625
574,2000-01-03,7.322200000000066,8.798900000000003,-2.097849999999994,0.8765000000000782
575,2000-01-10,-0.30780000000004293,6.017800000000079,-7.25124000000001,0.8765999999999394
576,2000-01-17,3.8153000000002066,5.064000000000078,-2.239529999999988,0.8765000000000782
577,2000-01-24,27.65610000000015,5.961999999999762,20.72417999999999,0.8754999999999882
578,2000-01-31,8.098399999999856,11.080600000000231,-3.604389999999995,0.8764999999999645
579,2000-02-07,22.61239999999998,11.875499999999874,10.33681,0.8754000000000133
580,2000-02-14,14.626299999999901,12.94540000000029,1.593829999999997,0.8754999999999882
581,2000-02-21,1.442199999999957,10.09849999999983,-9.294150000000002,0.8754000000000133
582,2000-02-28,13.975399999999809,9.555799999999863,3.632080000000002,0.8765999999999394
583,2000-03-06,32.795500000000175,15.41630000000032,17.491070000000008,0.8754000000000133
584,2000-03-13,1.8148000000001048,13.904499999999643,-12.348510000000005,0.8754000000000133
585,2000-03-20,-2.79529999999977,7.478500000000167,-11.679100000000005,0.8754999999999882
586,2000-03-27,0.5351000000000568,6.0163000000002285,-6.610549999999989,0.8765000000000782
587,2000-04-03,0.630699999999706,4.415999999999713,-4.79910000000001,0.8754999999999882
588,2000-04-10,2.0032000000001062,3.3892000000000735,-2.3729199999999935,0.8754000000000133
589,2000-04-17,-0.19980000000032305,2.994799999999941,-4.186840000000004,0.8754000000000133
590,2000-04-24,-1.3597999999997228,2.205199999999877,-4.772979999999997,0.8754999999999882
591,2000-05-01,-1.3496000000000095,1.6238000000003012,-4.964420000000004,0.8753999999998996
592,2000-05-08,-0.706000000000131,1.256999999999607,-5.229509999999998,0.8755000000001019
593,2000-05-15,0.34870000000046275,1.0632000000000517,-3.5159200000000013,0.8752999999999247
594,2000-05-22,1.722899999999754,1.0207000000000335,-0.7007400000000032,0.8744000000000369
595,2000-05-29,0.22800000000006548,0.9875000000001819,-2.6485999999999947,0.8764999999999645
596,2000-06-05,0.3020999999994274,0.915599999999813,-2.8999900000000025,0.8744000000000369
597,2000-06-12,-0.020899999999528518,0.8166000000001077,-4.445239999999998,0.8754999999999882
598,2000-06-19,1.10779999999977,0.7278999999998632,-3.8583999999999996,0.8753000000000384
599,2000-06-26,0.14219999999977517,0.699800000000323,-2.125790000000002,0.8743999999999232
600,2000-07-03,0.09820000000036089,0.6630000000000109,-2.12997,0.8754999999999882
601,2000-07-10,0.40259999999989304,0.6434999999996762,-1.5246700000000004,0.8754000000000133
602,2000-07-17,0.29589999999961947,0.6024999999999636,-1.5899900000000002,0.8754999999999882
603,2000-07-24,0.5169000000000779,0.5948000000003049,-1.196159999999999,0.874300000000062
604,2000-07-31,1.0749000000000706,0.5871999999999389,-0.6080499999999986,0.8742999999999483
605,2000-08-07,0.020300000000133878,0.5503999999996267,-1.744530000000001,0.874300000000062
606,2000-08-14,0.15319999999974243,0.5210000000001855,-1.52731,0.8743999999999232
607,2000-08-21,-0.007999999999810825,0.4922999999998865,-1.6857100000000003,0.8754000000000133
608,2000-08-28,0.5556000000001404,0.48840000000018335,-0.99953,0.8744000000000369
609,2000-09-04,1.3870999999999185,0.5171000000000276,-0.13594999999999935,0.874300000000062
610,2000-09-11,1.130200000000059,0.5205000000000837,-0.398950000000001,0.8754999999999882
611,2000-09-18,-0.06400000000030559,0.4857999999999265,-1.78308,0.8731999999999971
612,2000-09-25,0.194100000000617,0.4560999999998785,-1.4459999999999997,0.8754999999999882
