,Start time of weekly time step,MIKE SHE GW recharge (mm),MIKE SHE Baseflow (mm),MIKE SHE Storage change (mm),MIKE SHE Pumping (mm)
0,1989-01-02,3.0924796,2.3890867,-0.2745141,0.4956411
1,1989-01-09,7.339059399999999,2.5223873,3.8118100999999998,0.49564100000000005
2,1989-01-16,1.6295924000000017,2.467225,-1.913817,0.49564089999999994
3,1989-01-23,0.5414315999999992,2.171209,-2.705679,0.495641
4,1989-01-30,1.253226999999999,1.9852930000000004,-1.8179329999999998,0.495641
5,1989-02-06,1.8405410000000018,2.002229,-1.2015090000000002,0.495641
6,1989-02-13,13.067730000000001,2.7033179999999994,9.08707,0.495641
7,1989-02-20,5.577716999999996,2.9469679999999983,1.3342770000000002,0.495641
8,1989-02-27,6.776547000000001,3.3327860000000022,2.2624970000000006,0.49564200000000014
9,1989-03-06,2.644715000000005,2.8195479999999975,-1.5089310000000005,0.49563999999999986
10,1989-03-13,10.673185999999994,3.682610000000004,5.632699000000001,0.495641
11,1989-03-20,18.160001,4.768599999999999,12.02442,0.495641
12,1989-03-27,1.1807830000000052,4.262430000000002,-4.556069999999998,0.495641
13,1989-04-03,-1.5319400000000059,3.196639999999995,-6.133130000000001,0.495641
14,1989-04-10,-2.539119999999997,2.5459800000000072,-6.995844,0.495641
15,1989-04-17,0.08190999999999349,2.236769999999993,-3.8044530000000005,0.49564200000000014
16,1989-04-24,2.0184600000000046,2.1861300000000057,-2.0099279999999995,0.49564000000000075
17,1989-05-01,-4.012879999999996,1.912859999999995,-8.964027,0.4956409999999991
18,1989-05-08,-1.7951900000000052,1.692300000000003,-5.438867999999999,0.4956410000000009
19,1989-05-15,-5.39602,1.558889999999998,-11.503700000000002,0.49564199999999836
20,1989-05-22,-6.519289999999998,1.326500000000003,-12.14406,0.4956390000000006
21,1989-05-29,-1.5323899999999995,1.2070099999999968,-5.41666,0.49563999999999986
22,1989-06-05,1.3037199999999984,1.181669999999997,-1.2745800000000003,0.49563999999999986
23,1989-06-12,-2.8452199999999976,1.1170200000000037,-8.62538,0.49563999999999986
24,1989-06-19,-1.6874800000000008,1.023140000000005,-6.632869999999997,0.49563999999999986
25,1989-06-26,-0.2953900000000047,0.9651699999999934,-3.5314300000000003,0.49565000000000126
26,1989-07-03,-0.40407999999999333,0.9235100000000003,-4.0330999999999975,0.49563999999999986
27,1989-07-10,1.2272999999999996,0.898210000000006,-0.8799000000000063,0.49563999999999986
28,1989-07-17,0.664749999999998,0.9176399999999916,-2.307459999999992,0.49563999999999986
29,1989-07-24,0.6102400000000046,0.8809700000000049,-1.9647000000000077,0.49563999999999986
30,1989-07-31,2.7464899999999943,0.9192699999999974,0.9191700000000083,0.49563999999999986
31,1989-08-07,6.49586,1.0766399999999976,4.5700999999999965,0.49563999999999986
32,1989-08-14,1.6163900000000027,1.0711300000000108,-0.42302000000000817,0.49563999999999986
33,1989-08-21,1.3042599999999922,1.0187699999999893,-1.0686999999999927,0.49565000000000126
34,1989-08-28,2.5930000000000106,1.0656900000000036,0.6694899999999961,0.49562999999999846
35,1989-09-04,0.7040899999999937,1.043379999999999,-1.4938199999999995,0.49565000000000126
36,1989-09-11,1.7896899999999931,1.0206900000000019,-0.5503499999999946,0.4956399999999981
37,1989-09-18,0.7997300000000109,1.0293700000000001,-1.2268800000000084,0.49564000000000163
38,1989-09-25,-0.19341000000000008,0.9890099999999933,-2.6751199999999926,0.4956399999999981
39,1989-10-02,0.2560399999999987,0.9386200000000002,-2.0095500000000044,0.49564000000000163
40,1989-10-09,4.758490000000009,1.0302800000000047,2.8959899999999976,0.49565000000000126
41,1989-10-16,6.176739999999995,1.33044000000001,4.006570000000011,0.4956399999999981
42,1989-10-23,6.197489999999988,1.5570499999999896,3.7756899999999973,0.49564000000000163
43,1989-10-30,4.600570000000005,1.5466600000000028,2.186969999999995,0.4956399999999981
44,1989-11-06,3.719999999999999,1.6613100000000003,1.1884500000000031,0.49564000000000163
