SZ_DETAIL water balance	  - accumulated	 : 	 1989  1  2  6  0	 2022  7 11  6  0 		Data type:	Storage depth		[millimeter]                                                                                
 SM CI OL RIV SZ                                                                		Sub-catchment no.:	 23
Flow Result File : DK1_HIP_500m
Title : DK1_HIP_500m     Text :  
                     	qszprecip	qrech	qrechmp	qolszpos	qolszneg	qetsz	qszin	qszout	dszsto	qszabsex	qszdrin	qszdrout	qszdrtorivin	qszdrtorivex	qszdrtoM11HPoint	qszrivneg	qszrivpos	qszfloodneg	qszfloodpos	qgihbpos	qgihbneg	qirrwell	qszdrtoMouse	qszMousepos	qszMouseneg	qSzExtSink	qSzExtSource	cross time step	Error
 1989  1  2  6  0	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    
 1989  1  9  6  0	   0.000000    	  -2.329306    	 -0.2697310    	  0.5139478E-02	   0.000000    	  0.2962644E-02	 -0.4022560    	  0.5031391    	  0.5260618E-01	   1.080550    	   0.000000    	   0.000000    	  0.6453527    	  0.8330359E-01	   0.000000    	 -0.5865704E-05	  0.6282685    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  0.2291028E-04
 1989  1 16  6  0	   0.000000    	  -6.433838    	 -0.8572420    	  0.8673334E-02	 -0.8527220E-02	  0.2962644E-02	 -0.8046235    	   1.006394    	   2.147401    	   2.161099    	   0.000000    	   0.000000    	   1.361835    	  0.1654742    	   0.000000    	 -0.5865704E-05	   1.250402    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  0.5176380E-05
 1989  1 23  6  0	   0.000000    	  -6.977517    	 -0.9583228    	  0.1194539E-01	 -0.1723594E-01	  0.2962645E-02	  -1.205893    	   1.512866    	  0.1902990    	   3.241649    	   0.000000    	   0.000000    	   2.091990    	  0.2450961    	   0.000000    	 -0.5865704E-05	   1.862177    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  0.1111963E-04
 1989  1 30  6  0	   0.000000    	  -6.455838    	 -0.9792603    	  0.1491626E-01	 -0.2367289E-01	  0.7103099E-02	  -1.605208    	   2.020599    	  -2.649081    	   4.322199    	   0.000000    	   0.000000    	   2.606008    	  0.3175584    	   0.000000    	 -0.5865704E-05	   2.424901    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  0.2178873E-03
 1989  2  6  6  0	   0.000000    	  -6.725926    	  -1.354604    	  0.1737786E-01	 -0.2367289E-01	  0.1124797E-01	  -2.002874    	   2.528191    	  -4.167710    	   5.402749    	   0.000000    	   0.000000    	   2.978105    	  0.3829184    	   0.000000    	 -0.5865704E-05	   2.954415    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  0.2102186E-03
 1989  2 13  6  0	   0.000000    	  -6.945284    	  -1.473515    	  0.1947207E-01	 -0.2367289E-01	  0.1259058E-01	  -2.398682    	   3.037341    	  -5.922698    	   6.483298    	   0.000000    	   0.000000    	   3.304176    	  0.4436553    	   0.000000    	 -0.5865704E-05	   3.463541    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  0.2165452E-03
 1989  2 20  6  0	   0.000000    	  -13.00335    	  -2.633370    	  0.2146511E-01	 -0.2367289E-01	  0.2561966E-01	  -2.793215    	   3.550056    	  -1.058243    	   7.563848    	   0.000000    	   0.000000    	   3.857650    	  0.5057474    	   0.000000    	 -0.5865704E-05	   3.987682    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  0.2131902E-03
 1989  2 27  6  0	   0.000000    	  -20.88076    	  -3.952873    	  0.2928757E-01	 -0.2499422E-01	  0.4339731E-01	  -3.186757    	   4.067216    	   5.405831    	   8.644398    	   0.000000    	   0.000000    	   4.743622    	  0.5710946    	   0.000000    	 -0.5865704E-05	   4.540764    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  0.2214340E-03
 1989  3  6  6  0	   0.000000    	  -25.05543    	  -4.587848    	  0.3129138E-01	 -0.3418292E-01	  0.4455547E-01	  -3.579869    	   4.592254    	   6.714170    	   9.724947    	   0.000000    	   0.000000    	   6.334465    	  0.6444681    	   0.000000    	 -0.5865704E-05	   5.171411    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  0.2227761E-03
 1989  3 13  6  0	   0.000000    	  -24.54406    	  -5.142275    	  0.3311291E-01	 -0.4349139E-01	  0.5229285E-01	  -3.972495    	   5.118012    	   3.717607    	   10.80550    	   0.000000    	   0.000000    	   7.503650    	  0.7130064    	   0.000000    	 -0.5865704E-05	   5.759369    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  0.2216258E-03
 1989  3 20  6  0	   0.000000    	  -34.81723    	  -6.731777    	  0.3497951E-01	 -0.5583164E-01	  0.6793695E-01	  -4.365508    	   5.651507    	   11.65552    	   11.88605    	   0.000000    	   0.000000    	   9.493950    	  0.7885430    	   0.000000    	 -0.5865704E-05	   6.394038    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  0.2167178E-02
