SZ_DETAIL water balance	  - accumulated	 : 	 1989  1  2  6  0	 2022  7 11  6  0 		Data type:	Storage depth		[millimeter]                                                                                
 SM CI OL RIV SZ                                                                		Sub-catchment no.:	 26
Flow Result File : DK1_HIP_500m
Title : DK1_HIP_500m     Text :  
                     	qszprecip	qrech	qrechmp	qolszpos	qolszneg	qetsz	qszin	qszout	dszsto	qszabsex	qszdrin	qszdrout	qszdrtorivin	qszdrtorivex	qszdrtoM11HPoint	qszrivneg	qszrivpos	qszfloodneg	qszfloodpos	qgihbpos	qgihbneg	qirrwell	qszdrtoMouse	qszMousepos	qszMouseneg	qSzExtSink	qSzExtSource	cross time step	Error
 1989  1  2  6  0	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    
 1989  1  9  6  0	   0.000000    	  -1.790276    	 -0.1961589    	  0.9081746E-03	 -0.2206374E-03	  0.9539291E-03	 -0.6550407    	  0.8238007    	 -0.2182417    	  0.4252747    	   0.000000    	  0.1795722    	  0.5418234    	   0.000000    	   0.000000    	 -0.7189297E-04	  0.8977116    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  0.1003555E-01
 1989  1 16  6  0	   0.000000    	  -5.351286    	 -0.7662622    	  0.9081746E-03	 -0.8828546E-03	  0.9539291E-03	  -1.287563    	   1.662544    	   1.701108    	  0.8505494    	   0.000000    	  0.3471118    	   1.069377    	   0.000000    	   0.000000    	 -0.1568908E-03	   1.790818    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  0.1722033E-01
 1989  1 23  6  0	   0.000000    	  -5.599849    	 -0.8015436    	  0.9081746E-03	 -0.1873739E-02	  0.9539293E-03	  -1.912266    	   2.507586    	 -0.1718373    	   1.275824    	   0.000000    	  0.4939199    	   1.552696    	   0.000000    	   0.000000    	 -0.2447311E-03	   2.679240    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  0.2351387E-01
 1989  1 30  6  0	   0.000000    	  -5.188029    	 -0.8055136    	  0.9081746E-03	 -0.3826709E-02	  0.9539315E-03	  -2.529893    	   3.349174    	  -2.487118    	   1.701099    	   0.000000    	  0.5968298    	   1.894742    	   0.000000    	   0.000000    	 -0.3265873E-03	   3.498136    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  0.2713623E-01
 1989  2  6  6  0	   0.000000    	  -5.467453    	  -1.157953    	  0.1106369E-02	 -0.5723835E-02	  0.1267681E-02	  -3.140892    	   4.187933    	  -3.610593    	   2.126374    	   0.000000    	  0.6767225    	   2.152176    	   0.000000    	   0.000000    	 -0.4006468E-03	   4.266516    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  0.2908207E-01
 1989  2 13  6  0	   0.000000    	  -5.802375    	  -1.286255    	  0.1106369E-02	 -0.9226591E-02	  0.1267681E-02	  -3.746622    	   5.027920    	  -4.836622    	   2.551648    	   0.000000    	  0.7515993    	   2.375405    	   0.000000    	   0.000000    	 -0.4680657E-03	   5.004060    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  0.3143820E-01
 1989  2 20  6  0	   0.000000    	  -9.536171    	  -2.239769    	  0.1106369E-02	 -0.1290903E-01	  0.1267689E-02	  -4.350173    	   5.873035    	  -1.915960    	   2.976923    	   0.000000    	  0.8336521    	   2.638518    	   0.000000    	   0.000000    	 -0.5359709E-03	   5.764217    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  0.3320321E-01
 1989  2 27  6  0	   0.000000    	  -14.30391    	  -3.243014    	  0.1106369E-02	 -0.1617931E-01	  0.1267701E-02	  -4.954227    	   6.726346    	   1.885191    	   3.402197    	   0.000000    	  0.9394767    	   3.017865    	   0.000000    	   0.000000    	 -0.6099767E-03	   6.578917    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  0.3442477E-01
 1989  3  6  6  0	   0.000000    	  -17.19123    	  -3.741429    	  0.1106369E-02	 -0.1810567E-01	  0.1267703E-02	  -5.561666    	   7.594117    	   2.918605    	   3.827472    	   0.000000    	   1.097960    	   3.631893    	   0.000000    	   0.000000    	 -0.6967869E-03	   7.476359    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  0.3565748E-01
 1989  3 13  6  0	   0.000000    	  -17.15076    	  -4.373775    	  0.1106369E-02	 -0.2066622E-01	  0.1267709E-02	  -6.161233    	   8.457608    	   1.390845    	   4.252747    	   0.000000    	   1.223262    	   4.088534    	   0.000000    	   0.000000    	 -0.7779485E-03	   8.335212    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  0.4336666E-01
 1989  3 20  6  0	   0.000000    	  -24.91790    	  -5.749172    	  0.1106369E-02	 -0.2221604E-01	  0.1267710E-02	  -6.763597    	   9.337208    	   7.921582    	   4.678021    	   0.000000    	   1.416452    	   4.867249    	   0.000000    	   0.000000    	 -0.8662428E-03	   9.289323    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  0.5846339E-01
 1989  3 27  6  0	   0.000000    	  -37.24495    	  -8.101452    	  0.1784886E-02	 -0.2277310E-01	  0.2054344E-01	  -7.372702    	   10.23825    	   19.15624    	   5.103296    	   0.000000    	   1.702433    	   6.199456    	   0.000000    	   0.000000    	 -0.9575888E-03	   10.39000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  0.6917565E-01
 1989  4  3  6  0	   0.000000    	  -36.32663    	  -8.509928    	  0.2623873E-02	 -0.2277310E-01	  0.6541790E-01	  -7.982362    	   11.14590    	   15.18478    	   5.528571    	   0.000000    	   1.992276    	   7.415942    	   0.000000    	   0.000000    	 -0.1052546E-02	   11.58176    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  0.7452264E-01
 1989  4 10  6  0	   0.000000    	  -35.20319    	  -9.388419    	  0.2653960E-02	 -0.2317496E-01	  0.7538439E-01	  -8.585610    	   12.03951    	   12.21357    	   5.953846    	   0.000000    	   2.186918    	   8.164286    	   0.000000    	   0.000000    	 -0.1146952E-02	   12.64846    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  0.8307829E-01
 1989  4 17  6  0	   0.000000    	  -34.06949    	  -9.452880    	  0.2653960E-02	 -0.2431318E-01	  0.1501981    	  -9.182810    	   12.92233    	   8.741529    	   6.379120    	   0.000000    	   2.325677    	   8.682445    	   0.000000    	   0.000000    	 -0.1233699E-02	   13.61363    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  0.8685358E-01
 1989  4 24  6  0	   0.000000    	  -33.41475    	  -10.62257    	  0.2653960E-02	 -0.2616318E-01	  0.1687474    	  -9.774458    	   13.79594    	   7.164893    	   6.804395    	   0.000000    	   2.432094    	   9.061499    	   0.000000    	   0.000000    	 -0.1321291E-02	   14.49810    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  0.8904775E-01
 1989  5  1  6  0	   0.000000    	  -32.96336    	  -12.23398    	  0.2653960E-02	 -0.2847015E-01	  0.1944522    	  -10.36205    	   14.66622    	   6.278679    	   7.229670    	   0.000000    	   2.529092    	   9.417948    	   0.000000    	   0.000000    	 -0.1406587E-02	   15.36146    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  0.9091064E-01
 1989  5  8  6  0	   0.000000    	  -31.69271    	  -12.23400    	  0.2653960E-02	 -0.2847015E-01	  0.6743063    	  -10.94455    	   15.52863    	   2.676454    	   7.654944    	   0.000000    	   2.603282    	   9.675995    	   0.000000    	   0.000000    	 -0.1499573E-02	   16.17712    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  0.9215520E-01
 1989  5 15  6  0	   0.000000    	  -30.42903    	  -13.49263    	  0.2653960E-02	 -0.2847015E-01	  0.8786408    	  -11.51986    	   16.38409    	  0.7709932    	   8.080219    	   0.000000    	   2.649684    	   9.859294    	   0.000000    	   0.000000    	 -0.1612351E-02	   16.93894    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  0.9292661E-01
 1989  5 22  6  0	   0.000000    	  -30.14190    	  -13.49263    	  0.2653960E-02	 -0.2847015E-01	   2.193625    	  -12.09008    	   17.23570    	  -2.430377    	   8.505494    	   0.000000    	   2.677792    	   9.991857    	   0.000000    	   0.000000    	 -0.1713695E-02	   17.67112    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  0.9307452E-01
 1989  5 29  6  0	   0.000000    	  -29.76870    	  -13.49263    	  0.2653960E-02	 -0.2847015E-01	   4.572757    	  -12.65291    	   18.07991    	  -6.666718    	   8.930769    	   0.000000    	   2.688080    	   10.07183    	   0.000000    	   0.000000    	 -0.1823214E-02	   18.35836    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  0.9312030E-01
 1989  6  5  6  0	   0.000000    	  -29.26383    	  -13.97553    	  0.2653960E-02	 -0.2847015E-01	   6.036705    	  -13.20957    	   18.91960    	  -9.569338    	   9.356043    	   0.000000    	   2.694398    	   10.12770    	   0.000000    	   0.000000    	 -0.1931680E-02	   19.00471    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  0.9313720E-01
 1989  6 12  6  0	   0.000000    	  -28.31472    	  -15.59712    	  0.2653960E-02	 -0.2847015E-01	   6.867932    	  -13.76248    	   19.75731    	  -11.12346    	   9.781318    	   0.000000    	   2.699044    	   10.17878    	   0.000000    	   0.000000    	 -0.2056384E-02	   19.63440    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  0.9312982E-01
 1989  6 19  6  0	   0.000000    	  -28.46477    	  -15.59726    	  0.2653960E-02	 -0.2847015E-01	   9.305717    	  -14.31108    	   20.59157    	  -14.78115    	   10.20659    	   0.000000    	   2.701649    	   10.22753    	   0.000000    	   0.000000    	 -0.2173245E-02	   20.24237    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  0.9319201E-01
