SZ_DETAIL water balance	  - accumulated	 : 	 1989  1  2  6  0	 2022  7 11  6  0 		Data type:	Storage depth		[millimeter]                                                                                
 SM CI OL RIV SZ                                                                		Sub-catchment no.:	 18
Flow Result File : DK1_HIP_500m
Title : DK1_HIP_500m     Text :  
                     	qszprecip	qrech	qrechmp	qolszpos	qolszneg	qetsz	qszin	qszout	dszsto	qszabsex	qszdrin	qszdrout	qszdrtorivin	qszdrtorivex	qszdrtoM11HPoint	qszrivneg	qszrivpos	qszfloodneg	qszfloodpos	qgihbpos	qgihbneg	qirrwell	qszdrtoMouse	qszMousepos	qszMouseneg	qSzExtSink	qSzExtSource	cross time step	Error
 1989  1  2  6  0	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    
 1989  1  9  6  0	   0.000000    	  -2.231129    	 -0.2243810    	  0.7315939E-01	   0.000000    	  0.2582127E-03	 -0.4362961    	  0.4561048    	 -0.8275184    	  0.5163969    	   0.000000    	   0.000000    	   1.951531    	   0.000000    	   0.000000    	   0.000000    	  0.7218778    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  0.3227700E-05
 1989  1 16  6  0	   0.000000    	  -5.649332    	 -0.7572665    	  0.1440283    	   0.000000    	  0.2582128E-03	 -0.8719547    	  0.9287351    	 -0.7647683E-01	   1.032794    	   0.000000    	   0.000000    	   3.813125    	   0.000000    	   0.000000    	   0.000000    	   1.436089    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	 -0.5134975E-06
 1989  1 23  6  0	   0.000000    	  -5.959655    	 -0.7969183    	  0.2123756    	   0.000000    	  0.2582140E-03	  -1.312737    	   1.373999    	  -2.737304    	   1.549191    	   0.000000    	   0.000000    	   5.521561    	   0.000000    	   0.000000    	   0.000000    	   2.149224    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	 -0.6895540E-05
 1989  1 30  6  0	   0.000000    	  -5.821017    	 -0.8022169    	  0.2775288    	   0.000000    	  0.2582182E-03	  -1.748820    	   1.817887    	  -5.447222    	   2.065588    	   0.000000    	   0.000000    	   6.817515    	   0.000000    	   0.000000    	   0.000000    	   2.840497    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	 -0.2714202E-05
 1989  2  6  6  0	   0.000000    	  -5.705381    	  -1.110120    	  0.3397537    	   0.000000    	  0.2582182E-03	  -2.186002    	   2.262011    	  -7.502220    	   2.581984    	   0.000000    	   0.000000    	   7.811475    	   0.000000    	   0.000000    	   0.000000    	   3.508239    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	 -0.5868544E-06
 1989  2 13  6  0	   0.000000    	  -5.823102    	  -1.193969    	  0.3991571    	   0.000000    	  0.2582186E-03	  -2.623795    	   2.704769    	  -9.349466    	   3.098381    	   0.000000    	   0.000000    	   8.626467    	   0.000000    	   0.000000    	   0.000000    	   4.161299    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	 -0.9536384E-06
 1989  2 20  6  0	   0.000000    	  -9.942656    	  -2.223768    	  0.4563843    	   0.000000    	  0.2582205E-03	  -3.061444    	   3.166470    	  -6.297698    	   3.614778    	   0.000000    	   0.000000    	   9.477833    	   0.000000    	   0.000000    	   0.000000    	   4.809840    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	 -0.1760563E-05
 1989  2 27  6  0	   0.000000    	  -13.50795    	  -3.015280    	  0.5124829    	   0.000000    	  0.2582221E-03	  -3.498026    	   3.628137    	  -4.305111    	   4.131175    	   0.000000    	   0.000000    	   10.57845    	   0.000000    	   0.000000    	   0.000000    	   5.475860    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  0.3374413E-05
 1989  3  6  6  0	   0.000000    	  -16.61309    	  -3.514147    	  0.5678303    	   0.000000    	  0.2582248E-03	  -3.933451    	   4.079592    	  -3.407594    	   4.647572    	   0.000000    	   0.000000    	   12.01123    	   0.000000    	   0.000000    	   0.000000    	   6.161798    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	 -0.2053991E-05
