SZ_DETAIL water balance	  - accumulated	 : 	 1989  1  2  6  0	 2022  7 11  6  0 		Data type:	Storage depth		[millimeter]                                                                                
 SM CI OL RIV SZ                                                                		Sub-catchment no.:	 30
Flow Result File : DK1_HIP_500m
Title : DK1_HIP_500m     Text :  
                     	qszprecip	qrech	qrechmp	qolszpos	qolszneg	qetsz	qszin	qszout	dszsto	qszabsex	qszdrin	qszdrout	qszdrtorivin	qszdrtorivex	qszdrtoM11HPoint	qszrivneg	qszrivpos	qszfloodneg	qszfloodpos	qgihbpos	qgihbneg	qirrwell	qszdrtoMouse	qszMousepos	qszMouseneg	qSzExtSink	qSzExtSource	cross time step	Error
 1989  1  2  6  0	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    
 1989  1  9  6  0	   0.000000    	  -2.341493    	 -0.2508906    	   0.000000    	   0.000000    	  0.2225024E-09	 -0.6646404    	  0.4679398    	 -0.3048460    	   1.496840    	   0.000000    	   0.000000    	   1.075012    	   0.000000    	   0.000000    	 -0.2391462E-06	  0.5220779    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	 -0.3221649E-06
 1989  1 16  6  0	   0.000000    	  -6.335801    	 -0.8352759    	   0.000000    	   0.000000    	  0.4202824E-09	  -1.323830    	  0.9363533    	   1.338847    	   2.993681    	   0.000000    	   0.000000    	   2.183219    	   0.000000    	   0.000000    	 -0.4885416E-06	   1.042972    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  0.1651095E-03
 1989  1 23  6  0	   0.000000    	  -6.847371    	 -0.9163362    	   0.000000    	   0.000000    	  0.6180623E-09	  -1.980985    	   1.405343    	 -0.9820071    	   4.490521    	   0.000000    	   0.000000    	   3.266631    	   0.000000    	   0.000000    	 -0.7303303E-06	   1.564473    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  0.2684440E-03
 1989  1 30  6  0	   0.000000    	  -6.404872    	 -0.9332380    	   0.000000    	   0.000000    	  0.2200302E-08	  -2.636907    	   1.874307    	  -4.065169    	   5.987362    	   0.000000    	   0.000000    	   4.113282    	   0.000000    	   0.000000    	 -0.9712431E-06	   2.065520    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  0.2824581E-03
 1989  2  6  6  0	   0.000000    	  -6.588126    	  -1.275934    	   0.000000    	   0.000000    	  0.2694752E-08	  -3.292107    	   2.343096    	  -5.997225    	   7.484202    	   0.000000    	   0.000000    	   4.779096    	   0.000000    	   0.000000    	 -0.1212976E-05	   2.547294    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  0.2940561E-03
 1989  2 13  6  0	   0.000000    	  -6.806507    	  -1.377710    	   0.000000    	   0.000000    	  0.2793642E-08	  -3.947521    	   2.811463    	  -8.019604    	   8.981043    	   0.000000    	   0.000000    	   5.343788    	   0.000000    	   0.000000    	 -0.1464299E-05	   3.015526    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  0.4766430E-03
 1989  2 20  6  0	   0.000000    	  -11.86085    	  -2.470211    	   0.000000    	   0.000000    	  0.1268264E-07	  -4.603494    	   3.280072    	  -4.316952    	   10.47788    	   0.000000    	   0.000000    	   6.009895    	   0.000000    	   0.000000    	 -0.1719842E-05	   3.484247    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  0.5884343E-03
 1989  2 27  6  0	   0.000000    	  -18.30976    	  -3.633111    	   0.000000    	   0.000000    	  0.2613168E-07	  -5.259954    	   3.749130    	  0.6049970    	   11.97472    	   0.000000    	   0.000000    	   6.906943    	   0.000000    	   0.000000    	 -0.1975730E-05	   3.967669    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  0.6348260E-03
 1989  3  6  6  0	   0.000000    	  -21.66714    	  -4.182534    	   0.000000    	   0.000000    	  0.5727931E-02	  -5.916847    	   4.219582    	   1.311260    	   13.47156    	   0.000000    	   0.000000    	   8.275198    	   0.000000    	   0.000000    	 -0.2227293E-05	   4.483832    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  0.6359536E-03
