SZ_DETAIL water balance	  - accumulated	 : 	 1989  1  2  6  0	 2022  7 11  6  0 		Data type:	Storage depth		[millimeter]                                                                                
 SM CI OL RIV SZ                                                                		Sub-catchment no.:	 25
Flow Result File : DK1_HIP_500m
Title : DK1_HIP_500m     Text :  
                     	qszprecip	qrech	qrechmp	qolszpos	qolszneg	qetsz	qszin	qszout	dszsto	qszabsex	qszdrin	qszdrout	qszdrtorivin	qszdrtorivex	qszdrtoM11HPoint	qszrivneg	qszrivpos	qszfloodneg	qszfloodpos	qgihbpos	qgihbneg	qirrwell	qszdrtoMouse	qszMousepos	qszMouseneg	qSzExtSink	qSzExtSource	cross time step	Error
 1989  1  2  6  0	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    
 1989  1  9  6  0	   0.000000    	  -2.320040    	 -0.2634833    	   0.000000    	   0.000000    	  0.3337537E-09	 -0.3861859    	  0.6917230    	 -0.3140910    	  0.8328251    	   0.000000    	  0.7933260E-02	  0.5939779    	   0.000000    	   0.000000    	 -0.1859472E-03	   1.157528    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  0.1932990E-05
 1989  1 16  6  0	   0.000000    	  -6.178468    	 -0.8421597    	   0.000000    	   0.000000    	  0.6304237E-09	 -0.7831299    	   1.402808    	   1.145197    	   1.690935    	   0.000000    	  0.1554948E-01	   1.240849    	   0.000000    	   0.000000    	 -0.3849821E-03	   2.308796    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	 -0.7731958E-05
 1989  1 23  6  0	   0.000000    	  -6.453418    	 -0.9020408    	   0.000000    	   0.000000    	  0.8529261E-09	  -1.183373    	   2.113802    	  -1.411711    	   2.549045    	   0.000000    	  0.2269787E-01	   1.840641    	   0.000000    	   0.000000    	 -0.5803765E-03	   3.424949    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  0.1127577E-04
 1989  1 30  6  0	   0.000000    	  -5.890903    	 -0.9192898    	   0.000000    	   0.000000    	  0.3844348E-08	  -1.583698    	   2.821326    	  -4.503198    	   3.407155    	   0.000000    	  0.2900390E-01	   2.227544    	   0.000000    	   0.000000    	 -0.7437890E-03	   4.412857    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  0.5307667E-04
 1989  2  6  6  0	   0.000000    	  -6.271051    	  -1.308328    	   0.000000    	   0.000000    	  0.4066851E-08	  -1.983667    	   3.525506    	  -6.089060    	   4.265265    	   0.000000    	  0.3468769E-01	   2.501230    	   0.000000    	   0.000000    	 -0.8858261E-03	   5.326371    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  0.6757410E-04
 1989  2 13  6  0	   0.000000    	  -6.574961    	  -1.436846    	   0.000000    	   0.000000    	  0.4116296E-08	  -2.383761    	   4.227937    	  -7.944988    	   5.123375    	   0.000000    	  0.4013615E-01	   2.747998    	   0.000000    	   0.000000    	 -0.1005118E-02	   6.202233    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  0.1206508E-03
 1989  2 20  6  0	   0.000000    	  -11.93787    	  -2.548369    	   0.000000    	   0.000000    	  0.7973004E-08	  -2.785119    	   4.931247    	  -4.031169    	   5.981485    	   0.000000    	  0.4587232E-01	   3.188657    	   0.000000    	   0.000000    	 -0.1143181E-02	   7.156523    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  0.1170264E-03
 1989  2 27  6  0	   0.000000    	  -19.45200    	  -3.867882    	   0.000000    	   0.000000    	  0.1351084E-07	  -3.187803    	   5.635290    	   1.867079    	   6.839595    	   0.000000    	  0.5239012E-01	   3.928020    	   0.000000    	   0.000000    	 -0.1316066E-02	   8.186753    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  0.1276579E-03
 1989  3  6  6  0	   0.000000    	  -24.33338    	  -4.577033    	   0.000000    	   0.000000    	  0.1445030E-07	  -3.593266    	   6.342086    	   3.562300    	   7.683300    	   0.000000    	  0.6166052E-01	   5.397740    	   0.000000    	   0.000000    	 -0.1589298E-02	   9.458307    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  0.1305573E-03
