SZ_DETAIL water balance	  - accumulated	 : 	 1989  1  2  6  0	 2022  7 11  6  0 		Data type:	Storage depth		[millimeter]                                                                                
 SM CI OL RIV SZ                                                                		Sub-catchment no.:	  2
Flow Result File : DK1_HIP_500m
Title : DK1_HIP_500m     Text :  
                     	qszprecip	qrech	qrechmp	qolszpos	qolszneg	qetsz	qszin	qszout	dszsto	qszabsex	qszdrin	qszdrout	qszdrtorivin	qszdrtorivex	qszdrtoM11HPoint	qszrivneg	qszrivpos	qszfloodneg	qszfloodpos	qgihbpos	qgihbneg	qirrwell	qszdrtoMouse	qszMousepos	qszMouseneg	qSzExtSink	qSzExtSource	cross time step	Error
 1989  1  2  6  0	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    
 1989  1  9  6  0	   0.000000    	  -2.376455    	 -0.2420395    	   0.000000    	   0.000000    	   0.000000    	  -1.891533    	   4.780898    	  -2.525613    	   1.271230    	   0.000000    	  0.6142531E-01	  0.1715738    	   0.000000    	   0.000000    	 -0.3062322E-03	  0.7506940    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	 -0.1243800E-03
 1989  1 16  6  0	   0.000000    	  -9.672997    	  -1.163413    	   0.000000    	   0.000000    	   0.000000    	  -3.796146    	   9.570984    	  0.5327764    	   2.542460    	   0.000000    	  0.1208389    	  0.3698066    	   0.000000    	   0.000000    	 -0.6334158E-03	   1.497170    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  0.8468502E-03
 1989  1 23  6  0	   0.000000    	  -10.17712    	  -1.163528    	   0.000000    	   0.000000    	   0.000000    	  -5.686202    	   14.07453    	  -3.870082    	   3.813690    	   0.000000    	  0.1769922    	  0.5808826    	   0.000000    	   0.000000    	 -0.9847910E-03	   2.254968    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  0.3150422E-02
 1989  1 30  6  0	   0.000000    	  -9.895800    	  -1.331000    	   0.000000    	   0.000000    	  0.6090367E-09	  -7.482273    	   18.45477    	  -8.741735    	   5.084920    	   0.000000    	  0.2230638    	  0.7169464    	   0.000000    	   0.000000    	 -0.1296701E-02	   2.976194    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  0.3790799E-02
 1989  2  6  6  0	   0.000000    	  -10.35952    	  -1.746439    	   0.000000    	   0.000000    	  0.6090367E-09	  -9.228089    	   22.72994    	  -12.49358    	   6.356150    	   0.000000    	  0.2629259    	  0.8212184    	   0.000000    	   0.000000    	 -0.1593402E-02	   3.662654    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  0.3653522E-02
 1989  2 13  6  0	   0.000000    	  -12.60288    	  -2.136223    	   0.000000    	   0.000000    	  0.6090367E-09	  -10.93349    	   26.95487    	  -14.46415    	   7.627379    	   0.000000    	  0.3002268    	  0.9285640    	   0.000000    	   0.000000    	 -0.1886921E-02	   4.331631    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  0.4047619E-02
 1989  2 20  6  0	   0.000000    	  -29.15572    	  -4.222642    	   0.000000    	   0.000000    	  0.6090367E-09	  -12.62356    	   31.47365    	  -1.042884    	   8.898609    	   0.000000    	  0.3433925    	   1.275249    	   0.000000    	   0.000000    	 -0.2254367E-02	   5.060809    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  0.4638889E-02
 1989  2 27  6  0	   0.000000    	  -31.85595    	  -4.910247    	   0.000000    	   0.000000    	  0.1827110E-08	  -14.30394    	   35.68740    	  -2.787292    	   10.16984    	   0.000000    	  0.3906307    	   1.759946    	   0.000000    	   0.000000    	 -0.2710030E-02	   5.859414    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  0.7087178E-02
 1989  3  6  6  0	   0.000000    	  -39.96095    	  -5.874462    	   0.000000    	   0.000000    	  0.1827110E-08	  -15.95960    	   40.02518    	  0.9545707    	   11.44107    	   0.000000    	  0.4441810    	   2.260984    	   0.000000    	   0.000000    	 -0.3152377E-02	   6.679992    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  0.7815228E-02
