SZ_DETAIL water balance	  - accumulated	 : 	 1989  1  2  6  0	 2022  7 11  6  0 		Data type:	Storage depth		[millimeter]                                                                                
 SM CI OL RIV SZ                                                                		Sub-catchment no.:	 24
Flow Result File : DK1_HIP_500m
Title : DK1_HIP_500m     Text :  
                     	qszprecip	qrech	qrechmp	qolszpos	qolszneg	qetsz	qszin	qszout	dszsto	qszabsex	qszdrin	qszdrout	qszdrtorivin	qszdrtorivex	qszdrtoM11HPoint	qszrivneg	qszrivpos	qszfloodneg	qszfloodpos	qgihbpos	qgihbneg	qirrwell	qszdrtoMouse	qszMousepos	qszMouseneg	qSzExtSink	qSzExtSource	cross time step	Error
 1989  1  2  6  0	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    
 1989  1  9  6  0	   0.000000    	  -3.101075    	 -0.3324391    	  0.3178417E-01	   0.000000    	  0.5509563E-02	 -0.1119414    	  0.8927664    	  0.1744352    	  0.7103221E-01	   0.000000    	   0.000000    	   1.170558    	  0.6436614E-01	   0.000000    	   0.000000    	   1.135055    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  0.5048466E-04
 1989  1 16  6  0	   0.000000    	  -7.881059    	  -1.009542    	  0.6280294E-01	 -0.1800400E-01	  0.5509564E-02	 -0.2152526    	   1.816610    	   2.000106    	  0.1420644    	   0.000000    	   0.000000    	   2.642633    	  0.1882253    	   0.000000    	   0.000000    	   2.265965    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  0.5860822E-04
 1989  1 23  6  0	   0.000000    	  -8.066091    	  -1.009837    	  0.9257517E-01	 -0.3351010E-01	  0.5509564E-02	 -0.3161352    	   2.745162    	  -1.256212    	  0.2130966    	   0.000000    	   0.000000    	   3.945874    	  0.2942244    	   0.000000    	   0.000000    	   3.385793    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  0.4510995E-03
 1989  1 30  6  0	   0.000000    	  -7.832810    	  -1.188665    	  0.1195473    	 -0.3351010E-01	  0.1718548E-01	 -0.4140207    	   3.661934    	  -4.346770    	  0.2841288    	   0.000000    	   0.000000    	   4.964354    	  0.3663924    	   0.000000    	   0.000000    	   4.402702    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  0.4676649E-03
 1989  2  6  6  0	   0.000000    	  -9.343401    	  -1.675938    	  0.1437856    	 -0.3351010E-01	  0.1806895E-01	 -0.5098721    	   4.567013    	  -5.286118    	  0.3551611    	   0.000000    	   0.000000    	   5.943718    	  0.4391249    	   0.000000    	   0.000000    	   5.382437    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  0.4697772E-03
 1989  2 13  6  0	   0.000000    	  -11.32107    	  -2.014187    	  0.1660958    	 -0.3351010E-01	  0.1806895E-01	 -0.6046875    	   5.468900    	  -6.176404    	  0.4261933    	   0.000000    	   0.000000    	   7.134364    	  0.5438156    	   0.000000    	   0.000000    	   6.392931    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  0.5137515E-03
 1989  2 20  6  0	   0.000000    	  -21.31749    	  -3.516277    	  0.1885608    	 -0.3351010E-01	  0.3048323E-01	 -0.7009757    	   6.383750    	   1.238381    	  0.4972255    	   0.000000    	   0.000000    	   8.986180    	  0.7842621    	   0.000000    	   0.000000    	   7.459938    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  0.5252460E-03
 1989  2 27  6  0	   0.000000    	  -28.91696    	  -4.799501    	  0.2179413    	 -0.3579721E-01	  0.5344740E-01	 -0.7987315    	   7.313367    	   5.621654    	  0.5682577    	   0.000000    	   0.000000    	   11.08353    	   1.092732    	   0.000000    	   0.000000    	   8.600593    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  0.5241175E-03
 1989  3  6  6  0	   0.000000    	  -34.65142    	  -5.617445    	  0.2428935    	 -0.5042749E-01	  0.5344740E-01	 -0.8989088    	   8.265813    	   6.988069    	  0.6392899    	   0.000000    	   0.000000    	   13.69298    	   1.493040    	   0.000000    	   0.000000    	   9.843184    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  0.5168620E-03
