SZ_DETAIL water balance	  - accumulated	 : 	 1989  1  2  6  0	 2022  7 11  6  0 		Data type:	Storage depth		[millimeter]                                                                                
 SM CI OL RIV SZ                                                                		Sub-catchment no.:	 29
Flow Result File : DK1_HIP_500m
Title : DK1_HIP_500m     Text :  
                     	qszprecip	qrech	qrechmp	qolszpos	qolszneg	qetsz	qszin	qszout	dszsto	qszabsex	qszdrin	qszdrout	qszdrtorivin	qszdrtorivex	qszdrtoM11HPoint	qszrivneg	qszrivpos	qszfloodneg	qszfloodpos	qgihbpos	qgihbneg	qirrwell	qszdrtoMouse	qszMousepos	qszMouseneg	qSzExtSink	qSzExtSource	cross time step	Error
 1989  1  2  6  0	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    
 1989  1  9  6  0	   0.000000    	  -2.140395    	 -0.2306939    	   0.000000    	   0.000000    	  0.5329071E-09	 -0.8800623    	   1.157929    	  -1.161553    	   1.632417    	   0.000000    	   0.000000    	   1.033373    	   0.000000    	   0.000000    	 -0.2557328E-05	  0.5890446    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  0.5753968E-04
 1989  1 16  6  0	   0.000000    	  -5.837467    	 -0.8110760    	   0.000000    	   0.000000    	  0.5329071E-09	  -1.767461    	   2.323606    	 -0.5532132    	   3.424480    	   0.000000    	   0.000000    	   2.051556    	   0.000000    	   0.000000    	 -0.5289170E-05	   1.175507    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  0.5925224E-02
 1989  1 23  6  0	   0.000000    	  -6.244724    	 -0.8631793    	   0.000000    	   0.000000    	  0.5329071E-09	  -2.659782    	   3.493330    	  -3.719048    	   5.216542    	   0.000000    	   0.000000    	   3.025143    	   0.000000    	   0.000000    	 -0.8246230E-05	   1.761385    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  0.9657986E-02
 1989  1 30  6  0	   0.000000    	  -5.750334    	 -0.8758799    	   0.000000    	   0.000000    	  0.8374255E-09	  -3.557383    	   4.664606    	  -7.572675    	   7.008604    	   0.000000    	   0.000000    	   3.767672    	   0.000000    	   0.000000    	 -0.1142195E-04	   2.325086    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  0.9683532E-02
 1989  2  6  6  0	   0.000000    	  -5.635767    	  -1.199524    	   0.000000    	   0.000000    	  0.1446462E-08	  -4.459331    	   5.837086    	  -10.53283    	   8.800667    	   0.000000    	   0.000000    	   4.332656    	   0.000000    	   0.000000    	 -0.1425062E-04	   2.866740    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  0.9686756E-02
 1989  2 13  6  0	   0.000000    	  -5.657442    	  -1.288343    	   0.000000    	   0.000000    	  0.1446462E-08	  -5.364470    	   7.010147    	  -13.46852    	   10.59273    	   0.000000    	   0.000000    	   4.794894    	   0.000000    	   0.000000    	 -0.1651349E-04	   3.390856    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  0.9829241E-02
 1989  2 20  6  0	   0.000000    	  -9.913708    	  -2.312583    	   0.000000    	   0.000000    	  0.3882609E-08	  -6.272153    	   8.184544    	  -11.25916    	   12.38479    	   0.000000    	   0.000000    	   5.290419    	   0.000000    	   0.000000    	 -0.1853233E-04	   3.907844    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  0.9972098E-02
 1989  2 27  6  0	   0.000000    	  -14.23833    	  -3.232442    	   0.000000    	   0.000000    	  0.1195235E-07	  -7.181812    	   9.360652    	  -9.239889    	   14.17685    	   0.000000    	   0.000000    	   5.930326    	   0.000000    	   0.000000    	 -0.2065533E-04	   4.434684    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  0.1002096E-01
 1989  3  6  6  0	   0.000000    	  -17.15541    	  -3.714664    	   0.000000    	   0.000000    	  0.1240912E-07	  -8.093641    	   10.53925    	  -9.348944    	   15.96892    	   0.000000    	   0.000000    	   6.834319    	   0.000000    	   0.000000    	 -0.2324902E-04	   4.980230    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  0.1003782E-01
