SZ_DETAIL water balance	  - accumulated	 : 	 1989  1  2  6  0	 2022  7 11  6  0 		Data type:	Storage depth		[millimeter]                                                                                
 SM CI OL RIV SZ                                                                		Sub-catchment no.:	 10
Flow Result File : DK1_HIP_500m
Title : DK1_HIP_500m     Text :  
                     	qszprecip	qrech	qrechmp	qolszpos	qolszneg	qetsz	qszin	qszout	dszsto	qszabsex	qszdrin	qszdrout	qszdrtorivin	qszdrtorivex	qszdrtoM11HPoint	qszrivneg	qszrivpos	qszfloodneg	qszfloodpos	qgihbpos	qgihbneg	qirrwell	qszdrtoMouse	qszMousepos	qszMouseneg	qSzExtSink	qSzExtSource	cross time step	Error
 1989  1  2  6  0	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    
 1989  1  9  6  0	   0.000000    	  -1.881083    	 -0.1933379    	   0.000000    	   0.000000    	  0.5994000E-03	  -1.014264    	  0.4461373    	  -1.972319    	   2.459370    	   0.000000    	   0.000000    	  0.2339187    	   0.000000    	   0.000000    	 -0.3664643E-01	   1.957675    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  0.5062794E-04
 1989  1 16  6  0	   0.000000    	  -5.850626    	 -0.7568383    	  0.4213130E-03	 -0.2038655E-02	  0.5994001E-03	  -2.042678    	  0.8904764    	  -1.431037    	   4.918740    	   0.000000    	   0.000000    	  0.4823947    	   0.000000    	   0.000000    	 -0.7181250E-01	   3.862570    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  0.1722920E-03
 1989  1 23  6  0	   0.000000    	  -5.987999    	 -0.7724459    	  0.4213130E-03	 -0.4159005E-02	  0.3261599E-02	  -3.073227    	   1.332327    	  -5.177358    	   7.378110    	   0.000000    	   0.000000    	  0.7065024    	   0.000000    	   0.000000    	 -0.1026265    	   5.697985    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  0.7925824E-03
 1989  1 30  6  0	   0.000000    	  -5.704631    	 -0.7936221    	  0.4213130E-03	 -0.4159005E-02	  0.5672788E-02	  -4.101652    	   1.768643    	  -9.088664    	   9.837480    	   0.000000    	   0.000000    	  0.8608114    	   0.000000    	   0.000000    	 -0.1374956    	   7.358526    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  0.1330750E-02
 1989  2  6  6  0	   0.000000    	  -5.685513    	  -1.132697    	  0.4213130E-03	 -0.4159005E-02	  0.6790691E-02	  -5.127906    	   2.200406    	  -12.26605    	   12.29685    	   0.000000    	   0.000000    	  0.9811513    	   0.000000    	   0.000000    	 -0.1796932    	   8.911921    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  0.1524823E-02
 1989  2 13  6  0	   0.000000    	  -5.944285    	  -1.320856    	  0.4213130E-03	 -0.4159005E-02	  0.6848756E-02	  -6.152697    	   2.628778    	  -15.23954    	   14.75622    	   0.000000    	   0.000000    	   1.093483    	   0.000000    	   0.000000    	 -0.2246710    	   10.40229    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  0.1836833E-02
 1989  2 20  6  0	   0.000000    	  -12.71631    	  -2.509109    	  0.1389847E-02	 -0.4421772E-02	  0.9292884E-02	  -7.180939    	   3.058462    	  -10.86009    	   17.21559    	   0.000000    	   0.000000    	   1.279884    	   0.000000    	   0.000000    	 -0.2640512    	   11.97216    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  0.1854886E-02
 1989  2 27  6  0	   0.000000    	  -17.44431    	  -3.428212    	  0.1389847E-02	 -0.6202132E-02	  0.1189882E-01	  -8.215553    	   3.491999    	  -9.085762    	   19.67496    	   0.000000    	   0.000000    	   1.562169    	   0.000000    	   0.000000    	 -0.2874172    	   13.72690    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  0.1856848E-02
 1989  3  6  6  0	   0.000000    	  -20.96740    	  -3.991638    	  0.1953130E-02	 -0.9981781E-02	  0.1322737E-01	  -9.256193    	   3.930745    	  -9.082563    	   22.13433    	   0.000000    	   0.000000    	   1.932597    	   0.000000    	   0.000000    	 -0.3095471    	   15.60634    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  0.1875294E-02
 1989  3 13  6  0	   0.000000    	  -21.26004    	  -4.749064    	  0.1953130E-02	 -0.1186704E-01	  0.2805257E-01	  -10.29465    	   4.365523    	  -11.82187    	   24.59370    	   0.000000    	   0.000000    	   2.175061    	   0.000000    	   0.000000    	 -0.3316576    	   17.30747    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  0.2615483E-02
