SZ_DETAIL water balance	  - accumulated	 : 	 1989  1  2  6  0	 2022  7 11  6  0 		Data type:	Storage depth		[millimeter]                                                                                
 SM CI OL RIV SZ                                                                		Sub-catchment no.:	  3
Flow Result File : DK1_HIP_500m
Title : DK1_HIP_500m     Text :  
                     	qszprecip	qrech	qrechmp	qolszpos	qolszneg	qetsz	qszin	qszout	dszsto	qszabsex	qszdrin	qszdrout	qszdrtorivin	qszdrtorivex	qszdrtoM11HPoint	qszrivneg	qszrivpos	qszfloodneg	qszfloodpos	qgihbpos	qgihbneg	qirrwell	qszdrtoMouse	qszMousepos	qszMouseneg	qSzExtSink	qSzExtSource	cross time step	Error
 1989  1  2  6  0	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    
 1989  1  9  6  0	   0.000000    	  -2.481413    	 -0.2237191    	  0.1922728    	   0.000000    	  0.1661894E-01	 -0.8186709    	   1.252069    	 -0.9997168    	  0.5919262    	   0.000000    	   0.000000    	  0.9406684    	  0.2866824E-02	   0.000000    	 -0.5075981E-02	   1.532174    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  0.8370536E-07
 1989  1 16  6  0	   0.000000    	  -8.684002    	 -0.9709612    	  0.5122967    	 -0.1157044E-02	  0.4599945E-01	  -1.667935    	   2.538841    	   2.004444    	   1.183852    	   0.000000    	   0.000000    	   1.963096    	  0.5583242E-02	   0.000000    	 -0.5219540E-02	   3.075361    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  0.1994141E-03
 1989  1 23  6  0	   0.000000    	  -9.712758    	 -0.9724463    	  0.9066100    	 -0.9526847E-02	  0.1562572    	  -2.521729    	   3.810033    	  -1.105728    	   1.775779    	   0.000000    	   0.000000    	   2.989533    	  0.8206437E-02	   0.000000    	 -0.5219540E-02	   4.681626    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  0.6371443E-03
 1989  1 30  6  0	   0.000000    	  -10.04211    	  -1.171121    	   1.310502    	 -0.2905602E-01	  0.2626240    	  -3.363548    	   5.052598    	  -4.465223    	   2.367705    	   0.000000    	   0.000000    	   3.838280    	  0.1018562E-01	   0.000000    	 -0.5219540E-02	   6.235366    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  0.9874512E-03
 1989  2  6  6  0	   0.000000    	  -11.19849    	  -1.560052    	   1.704336    	 -0.5188354E-01	  0.3651203    	  -4.194800    	   6.268577    	  -6.615189    	   2.959631    	   0.000000    	   0.000000    	   4.593220    	  0.1160338E-01	   0.000000    	 -0.5263569E-02	   7.724427    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  0.1239390E-02
 1989  2 13  6  0	   0.000000    	  -13.11437    	  -1.873756    	   2.103792    	 -0.7544514E-01	  0.4147032    	  -5.021380    	   7.463586    	  -8.050866    	   3.551557    	   0.000000    	   0.000000    	   5.387083    	  0.1268998E-01	   0.000000    	 -0.5376305E-02	   9.209454    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  0.1669985E-02
 1989  2 20  6  0	   0.000000    	  -26.46357    	  -3.666461    	   2.564528    	 -0.1358724    	  0.5553070    	  -5.873058    	   8.660263    	   2.550557    	   4.143483    	   0.000000    	   0.000000    	   6.811718    	  0.1478458E-01	   0.000000    	 -0.5522472E-02	   10.84552    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  0.1675704E-02
 1989  2 27  6  0	   0.000000    	  -28.81150    	  -4.231921    	   3.031896    	 -0.2371247    	  0.6733488    	  -6.735259    	   9.851820    	  0.7967618    	   4.735410    	   0.000000    	   0.000000    	   8.326130    	  0.1736819E-01	   0.000000    	 -0.9627201E-02	   12.59696    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  0.4260093E-02
 1989  3  6  6  0	   0.000000    	  -34.68359    	  -5.007779    	   3.511679    	 -0.3729598    	  0.7228934    	  -7.603910    	   11.03818    	   2.751223    	   5.327335    	   0.000000    	   0.000000    	   9.909818    	  0.2031120E-01	   0.000000    	 -0.9771395E-02	   14.40114    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  0.4572754E-02
 1989  3 13  6  0	   0.000000    	  -36.24041    	  -5.798254    	   3.977480    	 -0.5059313    	  0.8554742    	  -8.461362    	   12.20828    	  0.7786468    	   5.919262    	   0.000000    	   0.000000    	   11.16590    	  0.2287806E-01	   0.000000    	 -0.4612782E-01	   16.13100    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  0.6828425E-02
 1989  3 20  6  0	   0.000000    	  -47.31557    	  -7.311284    	   4.483357    	 -0.6754667    	  0.9351367    	  -9.347560    	   13.38942    	   8.136392    	   6.511189    	   0.000000    	   0.000000    	   13.17770    	  0.2620102E-01	   0.000000    	 -0.4621474E-01	   18.04709    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  0.1038358E-01
 1989  3 27  6  0	   0.000000    	  -63.79204    	  -9.915881    	   5.041371    	 -0.8848597    	  0.9941620    	  -10.26407    	   14.58580    	   21.18594    	   7.103114    	   0.000000    	   0.000000    	   15.98368    	  0.3508803E-01	   0.000000    	 -0.9233626E-01	   20.03283    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  0.1279378E-01
 1989  4  3  6  0	   0.000000    	  -63.72861    	  -10.72277    	   5.600287    	  -1.126503    	   1.086791    	  -11.18654    	   15.78253    	   16.11455    	   7.695041    	   0.000000    	   0.000000    	   18.36642    	  0.4434763E-01	   0.000000    	 -0.9246426E-01	   22.18246    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  0.1553172E-01
 1989  4 10  6  0	   0.000000    	  -62.69738    	  -11.18101    	   6.117893    	  -1.313664    	   1.245547    	  -12.08252    	   16.95772    	   10.78795    	   8.286966    	   0.000000    	   0.000000    	   19.86546    	  0.5016262E-01	   0.000000    	 -0.1481774    	   24.13618    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  0.2512047E-01
