SZ_DETAIL water balance	  - accumulated	 : 	 1989  1  2  6  0	 2022  7 11  6  0 		Data type:	Storage depth		[millimeter]                                                                                
 SM CI OL RIV SZ                                                                		Sub-catchment no.:	  7
Flow Result File : DK1_HIP_500m
Title : DK1_HIP_500m     Text :  
                     	qszprecip	qrech	qrechmp	qolszpos	qolszneg	qetsz	qszin	qszout	dszsto	qszabsex	qszdrin	qszdrout	qszdrtorivin	qszdrtorivex	qszdrtoM11HPoint	qszrivneg	qszrivpos	qszfloodneg	qszfloodpos	qgihbpos	qgihbneg	qirrwell	qszdrtoMouse	qszMousepos	qszMouseneg	qSzExtSink	qSzExtSource	cross time step	Error
 1989  1  2  6  0	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    
 1989  1  9  6  0	   0.000000    	  -2.311798    	 -0.2371844    	   0.000000    	   0.000000    	  0.3387625E-09	 -0.2973880    	  0.8017586    	  -1.191371    	   1.127759    	   0.000000    	   0.000000    	  0.4977399    	   0.000000    	   0.000000    	 -0.3892079E-03	   1.610883    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  0.9293680E-05
 1989  1 16  6  0	   0.000000    	  -6.828998    	 -0.8923588    	   0.000000    	   0.000000    	  0.4100809E-09	 -0.6022899    	   1.613781    	  0.1448035    	   2.255518    	   0.000000    	   0.000000    	   1.115885    	   0.000000    	   0.000000    	 -0.8081709E-03	   3.194506    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  0.3822026E-04
 1989  1 23  6  0	   0.000000    	  -6.978701    	 -0.8935921    	   0.000000    	   0.000000    	  0.2238007E-02	 -0.9059258    	   2.425098    	  -3.425960    	   3.383277    	   0.000000    	   0.000000    	   1.658770    	   0.000000    	   0.000000    	 -0.1229014E-02	   4.736228    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  0.2034154E-03
 1989  1 30  6  0	   0.000000    	  -6.906173    	  -1.011511    	   0.000000    	   0.000000    	  0.4418582E-02	  -1.205836    	   3.229525    	  -6.783624    	   4.511036    	   0.000000    	   0.000000    	   2.008322    	   0.000000    	   0.000000    	 -0.1636847E-02	   6.155839    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  0.3588522E-03
 1989  2  6  6  0	   0.000000    	  -7.238553    	  -1.378600    	   0.000000    	   0.000000    	  0.6129593E-02	  -1.502410    	   4.028052    	  -9.327218    	   5.638795    	   0.000000    	   0.000000    	   2.282771    	   0.000000    	   0.000000    	 -0.2036983E-02	   7.493504    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  0.4330855E-03
 1989  2 13  6  0	   0.000000    	  -8.048093    	  -1.619837    	   0.000000    	   0.000000    	  0.6459449E-02	  -1.796407    	   4.822794    	  -11.48083    	   6.766554    	   0.000000    	   0.000000    	   2.575840    	   0.000000    	   0.000000    	 -0.2435773E-02	   8.776578    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  0.6246514E-03
 1989  2 20  6  0	   0.000000    	  -18.09371    	  -3.131089    	  0.6289770E-03	 -0.1271668E-02	  0.7949772E-02	  -2.092960    	   5.628100    	  -3.755131    	   7.894313    	   0.000000    	   0.000000    	   3.402746    	   0.000000    	   0.000000    	 -0.2849263E-02	   10.14390    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  0.6294145E-03
 1989  2 27  6  0	   0.000000    	  -22.54013    	  -4.075536    	  0.6289770E-03	 -0.3302432E-02	  0.7949776E-02	  -2.392204    	   6.445948    	  -2.664342    	   9.022072    	   0.000000    	   0.000000    	   4.550365    	   0.000000    	   0.000000    	 -0.3292695E-02	   11.65247    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  0.6259293E-03
 1989  3  6  6  0	   0.000000    	  -28.26539    	  -4.900131    	  0.6289770E-03	 -0.4929222E-02	  0.7949777E-02	  -2.694358    	   7.279141    	 -0.9311387    	   10.14983    	   0.000000    	   0.000000    	   6.091916    	   0.000000    	   0.000000    	 -0.3753621E-02	   13.27087    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  0.6259293E-03
 1989  3 13  6  0	   0.000000    	  -29.16314    	  -5.709888    	  0.6289770E-03	 -0.6666405E-02	  0.7949785E-02	  -2.994238    	   8.105923    	  -3.246549    	   11.27759    	   0.000000    	   0.000000    	   6.943283    	   0.000000    	   0.000000    	 -0.4198622E-02	   14.79005    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  0.7467472E-03
 1989  3 20  6  0	   0.000000    	  -39.15909    	  -7.245924    	  0.6289770E-03	 -0.7712880E-02	  0.1409947E-01	  -3.299452    	   8.948055    	   3.099774    	   12.40535    	   0.000000    	   0.000000    	   8.790640    	   0.000000    	   0.000000    	 -0.4689420E-02	   16.45906    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  0.7396608E-03
 1989  3 27  6  0	   0.000000    	  -55.71583    	  -10.06355    	  0.3751016E-02	 -0.2736241E-01	  0.1711167E-01	  -3.611491    	   9.813297    	   15.75357    	   13.53311    	   0.000000    	   0.000000    	   11.99616    	   0.000000    	   0.000000    	 -0.5251456E-02	   18.30721    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  0.7282760E-03
