SZ_DETAIL water balance	  - accumulated	 : 	 1989  1  2  6  0	 2022  7 11  6  0 		Data type:	Storage depth		[millimeter]                                                                                
 SM CI OL RIV SZ                                                                		Sub-catchment no.:	 31
Flow Result File : DK1_HIP_500m
Title : DK1_HIP_500m     Text :  
                     	qszprecip	qrech	qrechmp	qolszpos	qolszneg	qetsz	qszin	qszout	dszsto	qszabsex	qszdrin	qszdrout	qszdrtorivin	qszdrtorivex	qszdrtoM11HPoint	qszrivneg	qszrivpos	qszfloodneg	qszfloodpos	qgihbpos	qgihbneg	qirrwell	qszdrtoMouse	qszMousepos	qszMouseneg	qSzExtSink	qSzExtSource	cross time step	Error
 1989  1  2  6  0	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    
 1989  1  9  6  0	   0.000000    	  -2.573806    	 -0.2610857    	   0.000000    	   0.000000    	  0.2821273E-09	 -0.5465845    	  0.3123895    	 -0.5053943    	   2.358362    	   0.000000    	   0.000000    	  0.6671274    	   0.000000    	   0.000000    	 -0.2203642E-05	  0.5489866    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	 -0.7536765E-05
 1989  1 16  6  0	   0.000000    	  -6.326043    	 -0.8264444    	   0.000000    	   0.000000    	  0.5078291E-09	  -1.093180    	  0.6239464    	  0.4515938    	   4.716723    	   0.000000    	   0.000000    	   1.353253    	   0.000000    	   0.000000    	 -0.4598133E-05	   1.100156    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    
 1989  1 23  6  0	   0.000000    	  -7.223722    	 -0.9639729    	   0.000000    	   0.000000    	  0.7335310E-09	  -1.641641    	  0.9343683    	  -1.838337    	   7.075085    	   0.000000    	   0.000000    	   2.002994    	   0.000000    	   0.000000    	 -0.7012255E-05	   1.655226    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	 -0.5514706E-05
 1989  1 30  6  0	   0.000000    	  -6.841586    	 -0.9866996    	   0.000000    	   0.000000    	  0.1184935E-08	  -2.192484    	   1.239820    	  -5.251046    	   9.433447    	   0.000000    	   0.000000    	   2.413795    	   0.000000    	   0.000000    	 -0.9025691E-05	   2.184762    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    
 1989  2  6  6  0	   0.000000    	  -6.984449    	  -1.378383    	   0.000000    	   0.000000    	  0.1862040E-08	  -2.743588    	   1.541785    	  -7.600710    	   11.79181    	   0.000000    	   0.000000    	   2.684752    	   0.000000    	   0.000000    	 -0.1076462E-04	   2.688797    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  0.3216912E-05
 1989  2 13  6  0	   0.000000    	  -7.323412    	  -1.500212    	   0.000000    	   0.000000    	  0.1862040E-08	  -3.295238    	   1.841299    	  -9.940595    	   14.15017    	   0.000000    	   0.000000    	   2.893663    	   0.000000    	   0.000000    	 -0.1238147E-04	   3.174338    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  0.3216912E-05
 1989  2 20  6  0	   0.000000    	  -13.65616    	  -2.686870    	   0.000000    	   0.000000    	  0.4796164E-08	  -3.848444    	   2.141802    	  -5.353732    	   16.50853    	   0.000000    	   0.000000    	   3.228928    	   0.000000    	   0.000000    	 -0.1414310E-04	   3.665954    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  0.2297794E-05
 1989  2 27  6  0	   0.000000    	  -21.02867    	  -4.010293    	   0.000000    	   0.000000    	  0.7504585E-08	  -4.403687    	   2.443580    	  0.1761292    	   18.86689    	   0.000000    	   0.000000    	   3.780070    	   0.000000    	   0.000000    	 -0.1634154E-04	   4.175993    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  0.2757353E-05
 1989  3  6  6  0	   0.000000    	  -25.83763    	  -4.688344    	   0.000000    	   0.000000    	  0.8407393E-08	  -4.961312    	   2.750554    	   1.850556    	   21.22525    	   0.000000    	   0.000000    	   4.917391    	   0.000000    	   0.000000    	 -0.1959959E-04	   4.743555    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  0.7720589E-05
 1989  3 13  6  0	   0.000000    	  -25.39568    	  -5.180424    	   0.000000    	   0.000000    	  0.1629631E-01	  -5.520952    	   3.054353    	  -1.615333    	   23.58362    	   0.000000    	   0.000000    	   5.756115    	   0.000000    	   0.000000    	 -0.2249451E-04	   5.302028    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  0.4319853E-05
 1989  3 20  6  0	   0.000000    	  -35.66010    	  -6.833284    	   0.000000    	   0.000000    	  0.5104163E-01	  -6.083573    	   3.362887    	   6.099784    	   25.94198    	   0.000000    	   0.000000    	   7.226947    	   0.000000    	   0.000000    	 -0.2608864E-04	   5.894344    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  0.2757356E-06
 1989  3 27  6  0	   0.000000    	  -49.71941    	  -9.370815    	   0.000000    	   0.000000    	  0.1099645    	  -6.649180    	   3.677788    	   17.62524    	   28.30034    	   0.000000    	   0.000000    	   9.484987    	   0.000000    	   0.000000    	 -0.3055167E-04	   6.541110    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	 -0.5147058E-05
 1989  4  3  6  0	   0.000000    	  -49.11834    	  -9.872366    	   0.000000    	   0.000000    	  0.2183490    	  -7.217325    	   3.995767    	   12.26076    	   30.65870    	   0.000000    	   0.000000    	   11.83162    	   0.000000    	   0.000000    	 -0.3528744E-04	   7.242865    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  0.1838239E-06
