SZ_DETAIL water balance	  - accumulated	 : 	 1989  1  2  6  0	 2022  7 11  6  0 		Data type:	Storage depth		[millimeter]                                                                                
 SM CI OL RIV SZ                                                                		Sub-catchment no.:	 28
Flow Result File : DK1_HIP_500m
Title : DK1_HIP_500m     Text :  
                     	qszprecip	qrech	qrechmp	qolszpos	qolszneg	qetsz	qszin	qszout	dszsto	qszabsex	qszdrin	qszdrout	qszdrtorivin	qszdrtorivex	qszdrtoM11HPoint	qszrivneg	qszrivpos	qszfloodneg	qszfloodpos	qgihbpos	qgihbneg	qirrwell	qszdrtoMouse	qszMousepos	qszMouseneg	qSzExtSink	qSzExtSource	cross time step	Error
 1989  1  2  6  0	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    
 1989  1  9  6  0	   0.000000    	  -2.619451    	 -0.2497321    	  0.6661833E-01	 -0.7120884E-02	  0.2588783E-02	  -2.557106    	   4.422019    	  -1.851360    	  0.4015979    	   0.000000    	   0.000000    	  0.5632395    	   0.000000    	   0.000000    	 -0.2924664E-06	   1.829258    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  0.5510691E-03
 1989  1 16  6  0	   0.000000    	  -8.755990    	  -1.089938    	  0.1284869    	 -0.2264701E-01	  0.2588783E-02	  -5.107453    	   8.754383    	  0.5169102    	  0.8031958    	   0.000000    	   0.000000    	   1.159378    	   0.000000    	   0.000000    	 -0.1441590E-05	   3.611520    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  0.4311678E-03
 1989  1 23  6  0	   0.000000    	  -9.245240    	  -1.089938    	  0.1887611    	 -0.4033185E-01	  0.2588783E-02	  -7.563713    	   12.96922    	  -3.584671    	   1.204794    	   0.000000    	   0.000000    	   1.755352    	   0.000000    	   0.000000    	 -0.4953656E-05	   5.405545    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  0.2356743E-02
 1989  1 30  6  0	   0.000000    	  -9.294075    	  -1.266919    	  0.2457463    	 -0.6325439E-01	  0.2588785E-02	  -9.921087    	   17.04844    	  -7.601482    	   1.606392    	   0.000000    	   0.000000    	   2.241790    	   0.000000    	   0.000000    	 -0.4953656E-05	   7.005814    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  0.3941529E-02
 1989  2  6  6  0	   0.000000    	  -10.18007    	  -1.693418    	  0.2995462    	 -0.9026584E-01	  0.2588785E-02	  -12.19253    	   21.01089    	  -10.28914    	   2.007990    	   0.000000    	   0.000000    	   2.659165    	   0.000000    	   0.000000    	 -0.4953656E-05	   8.470088    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  0.4830489E-02
 1989  2 13  6  0	   0.000000    	  -12.18556    	  -2.073988    	  0.3514240    	 -0.1202579    	  0.2588785E-02	  -14.39284    	   24.88380    	  -11.85725    	   2.409588    	   0.000000    	   0.000000    	   3.082435    	   0.000000    	   0.000000    	 -0.4953656E-05	   9.905814    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  0.5741303E-02
 1989  2 20  6  0	   0.000000    	  -27.32924    	  -4.149482    	  0.4064589    	 -0.1464682    	  0.2588785E-02	  -16.55274    	   28.74888    	  0.7424064    	   2.811186    	   0.000000    	   0.000000    	   3.809734    	   0.000000    	   0.000000    	 -0.6587836E-05	   11.66200    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  0.5321998E-02
 1989  2 27  6  0	   0.000000    	  -29.65271    	  -4.810891    	  0.4643385    	 -0.1726760    	  0.2588785E-02	  -18.67438    	   32.59141    	  -1.184966    	   3.212784    	   0.000000    	   0.000000    	   4.606741    	   0.000000    	   0.000000    	 -0.1080380E-04	   13.62367    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  0.5906003E-02
 1989  3  6  6  0	   0.000000    	  -36.66525    	  -5.729490    	  0.5236427    	 -0.1994180    	  0.2588785E-02	  -20.76123    	   36.40418    	   1.780898    	   3.614382    	   0.000000    	   0.000000    	   5.435841    	   0.000000    	   0.000000    	 -0.1493353E-04	   15.59964    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  0.5772224E-02
 1989  3 13  6  0	   0.000000    	  -37.84902    	  -6.558362    	  0.5816153    	 -0.2301879    	  0.2588787E-02	  -22.80858    	   40.15722    	 -0.8637661    	   4.015979    	   0.000000    	   0.000000    	   6.127194    	   0.000000    	   0.000000    	 -0.1922861E-04	   17.43197    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  0.6621792E-02
 1989  3 20  6  0	   0.000000    	  -50.12939    	  -8.263279    	  0.6432384    	 -0.2578730    	  0.2588793E-02	  -24.84259    	   43.92854    	   7.861830    	   4.417577    	   0.000000    	   0.000000    	   7.097348    	   0.000000    	   0.000000    	 -0.2347938E-04	   19.54836    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  0.6328885E-02
 1989  3 27  6  0	   0.000000    	  -69.37677    	  -11.35832    	  0.7099436    	 -0.2813265    	  0.3056420E-01	  -26.87301    	   47.73913    	   24.17168    	   4.819175    	   0.000000    	   0.000000    	   8.445685    	   0.000000    	   0.000000    	 -0.2848548E-04	   21.97947    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  0.6184498E-02
