bebyggelse,indbygge_1,indbygge_2,indbygge_3,indbygge_4,indbygge_5,start,end,WSAID
16002,12337669-d731-6b98-e053-d480220a5a3f,Slågårdshuse,01-01-2024,"21","10","1978","2019","2018"
15356,12337669-d7eb-6b98-e053-d480220a5a3f,Fuglebækshuse,01-01-2024,"7","4","1992","2019","1933"
14965,12337669-ddc7-6b98-e053-d480220a5a3f,Freerslev Mose,01-01-2024,"7","3","1978","2019","2217"
16249,12337669-d357-6b98-e053-d480220a5a3f,Ostrup,01-01-2024,"16","5","2008","2019","3384"
16855,12337669-d6fb-6b98-e053-d480220a5a3f,Strandhuse,01-01-2024,"0","0","1978","2019","2945"
16275,12337669-d6e8-6b98-e053-d480220a5a3f,Store Torøje Huslodder,01-01-2024,"12","6","1978","2019","2945"
16737,12337669-d704-6b98-e053-d480220a5a3f,Ammerup,01-01-2024,"35","7","2008","2019","2008"
18906,12337669-e3cc-6b98-e053-d480220a5a3f,Falkensteenskov,01-01-2024,"6","4","1978","2019","2045"
16808,12337669-d521-6b98-e053-d480220a5a3f,Sneglerup,01-01-2024,"14","5","2008","2019","2148"
14570,12337669-d493-6b98-e053-d480220a5a3f,Vollerup,01-01-2024,"34","15","1978","2019","2073"
13190,12337669-d79c-6b98-e053-d480220a5a3f,Rødeled,01-01-2024,"39","20","1978","2019","1942"
11325,12337669-d89e-6b98-e053-d480220a5a3f,Tokkerup,01-01-2024,"35","12","1997","2019","2951"
11754,12337669-d504-6b98-e053-d480220a5a3f,Tengslemark,01-01-2024,"32","17","1978","2019","2131"
15086,12337669-d3f6-6b98-e053-d480220a5a3f,Ougtved,01-01-2024,"11","5",,,
16294,12337669-db3e-6b98-e053-d480220a5a3f,Bendtskov Huse,01-01-2024,"13","3","1978","2005","1046"
16381,12337669-db88-6b98-e053-d480220a5a3f,Risø Huse,01-01-2024,"7","4",,,
10159,12337669-d15f-6b98-e053-d480220a5a3f,Eggeslevmagle,01-01-2024,"182","77","1978","2019","2052"
14574,12337669-d88d-6b98-e053-d480220a5a3f,Tuehuse,01-01-2024,"12","6","1997","2019","2951"
15081,12337669-d3ef-6b98-e053-d480220a5a3f,Sorterup,01-01-2024,"28","12","1978","2019","2044"
16015,12337669-d905-6b98-e053-d480220a5a3f,Bøgesø,01-01-2024,"49","23","1978","2019","2919"
,,,,,,"1978","2019","2699"
,,,,,,"1978","2019","2234"
,,,,,,"1978","2019","2240"
,,,,,,"1978","2019","3559"
,,,,,,"1978","2019","3565"
,,,,,,"1978","2019","3563"
,,,,,,"1978","2019","3563"
,,,,,,"1978","2019","2240"
,,,,,,"2010","2019","2930"
,,,,,,"1978","2019","3347"
,,,,,,"1978","2019","4690"
,,,,,,"2009","2019","1969"
,,,,,,"1978","2019","3567"
,,,,,,"1978","2019","3563"
,,,,,,"1978","2019","3569"
,,,,,,"1978","2019","3362"
15243,12337669-dc4f-6b98-e053-d480220a5a3f,Ømose,01-01-2024,"28","9","1995","2019","1062"
,,,,,,"1995","2019","1062"
15254,12337669-d53d-6b98-e053-d480220a5a3f,Sejstrup,01-01-2024,"0","0","1978","2019","2144"
15337,12337669-d151-6b98-e053-d480220a5a3f,Møllevænge,01-01-2024,"7","6","1978","2019","2885"
14616,12337669-daff-6b98-e053-d480220a5a3f,Rundingshuse,01-01-2024,"11","5","1978","2005","1046"
16498,12337669-dc81-6b98-e053-d480220a5a3f,Højelt,01-01-2024,"32","13","1978","2019","3171"
11907,12337669-d11f-6b98-e053-d480220a5a3f,Bendslev,01-01-2024,"31","15","1978","2019","2871"
12457,12337669-d77b-6b98-e053-d480220a5a3f,Mosebølle,01-01-2024,"8","3","1978","2019","2942"
11778,12337669-d50b-6b98-e053-d480220a5a3f,Nørre Asmindrup,01-01-2024,"628","292","1978","2019","2141"
14454,12337669-d4e5-6b98-e053-d480220a5a3f,Overbjerg,01-01-2024,"8","3","1978","2019","2073"
13916,12337669-d7b0-6b98-e053-d480220a5a3f,Lekkende,01-01-2024,"36","11","1978","2019","1966"
15313,12337669-d3a8-6b98-e053-d480220a5a3f,Kirke Fjenneslev,01-01-2024,"33","12","1978","2019","3393"
11371,12337669-d855-6b98-e053-d480220a5a3f,Bjerrede,01-01-2024,"45","20","2017","2019","1061"
15828,12337669-d2ae-6b98-e053-d480220a5a3f,Krøjerup,01-01-2024,"31","7","1978","2019","2822"
10050,12337669-d834-6b98-e053-d480220a5a3f,Køng,01-01-2024,"925","430","1992","2019","1933"
14642,12337669-d22a-6b98-e053-d480220a5a3f,Egerup,01-01-2024,"12","5","1978","2019","2062"
10997,12337669-a1db-6b98-e053-d480220a5a3f,Virum,01-01-2024,"11824","4889","1978","2019","3334"
10342,12337669-d6d1-6b98-e053-d480220a5a3f,Store Heddinge,01-01-2024,"3579","1812","2011","2019","2006"
,,,,,,"1978","2019","2922"
15909,12337669-d6df-6b98-e053-d480220a5a3f,Maglemose,01-01-2024,"4","2","1978","2019","2952"
10051,12337669-d840-6b98-e053-d480220a5a3f,Lundby,01-01-2024,"816","373","2011","2019","1936"
18828,12337669-e378-6b98-e053-d480220a5a3f,Fruerskov,01-01-2024,"12","4","2009","2019","2850"
12454,12337669-d779-6b98-e053-d480220a5a3f,Bækkeskov Stræde,01-01-2024,"68","17","2004","2019","2921"
13665,12337669-da47-6b98-e053-d480220a5a3f,Manderup,01-01-2024,"20","11","2006","2019","2701"
11805,12337669-d267-6b98-e053-d480220a5a3f,Ny Hagested,01-01-2024,"213","90","1978","2019","2810"
,,,,,,"1978","2016","3359"
,,,,,,"1978","2019","3563"
,,,,,,"1978","2019","3563"
,,,,,,"1978","2019","4684"
70594,9fa2b37a-ed66-4c97-e053-d480220aa9e0,Thyrashøj,01-01-2024,"77","31","1978","2019","3145"
,,,,,,"1978","2019","3334"
,,,,,,"1978","2019","3334"
,,,,,,"1978","2019","3564"
,,,,,,"1978","2019","3564"
,,,,,,"1978","2019","3563"
,,,,,,"1978","2019","3333"
,,,,,,"2000","2019","1995"
,,,,,,"1978","2019","1971"
,,,,,,"2009","2019","1969"
,,,,,,"1978","2019","2231"
,,,,,,"1978","2000","2239"
,,,,,,"2002","2019","2927"
,,,,,,"1978","2019","3433"
,,,,,,"1978","2019","3169"
,,,,,,"1978","2019","3564"
,,,,,,"1978","2016","3359"
,,,,,,"1978","2019","3542"
,,,,,,"1978","2019","3330"
,,,,,,"1978","2019","3569"
,,,,,,"2015","2016","4659"
,,,,,,"1978","2019","3565"
,,,,,,"2010","2019","2035"
,,,,,,"2017","2019","4662"
,,,,,,"1978","2019","2041"
,,,,,,"1986","2019","3162"
,,,,,,"1978","2016","3359"
,,,,,,"2015","2016","4659"
,,,,,,"1978","2019","3563"
,,,,,,"1978","2019","4687"
,,,,,,"2017","2019","4662"
,,,,,,"2008","2019","2008"
,,,,,,"1978","2019","3563"
,,,,,,"2010","2019","2035"
,,,,,,"1978","2019","2656"
,,,,,,"1978","2006","3156"
,,,,,,"1978","2019","2243"
,,,,,,"1978","2019","2156"
,,,,,,"1978","2019","3358"
,,,,,,"1978","2019","2023"
,,,,,,"1995","2019","1062"
,,,,,,"1994","2019","1039"
,,,,,,"1978","2019","3569"
,,,,,,"1978","2019","2215"
,,,,,,"1978","2019","1968"
,,,,,,"1987","2019","1953"
,,,,,,"1978","2019","3159"
,,,,,,"1978","2019","3335"
,,,,,,"1978","2019","2231"
,,,,,,"1978","2019","2076"
,,,,,,"1978","2019","2691"
,,,,,,"2006","2019","2701"
,,,,,,"1978","2019","3567"
,,,,,,"1978","2019","3564"
,,,,,,"1978","2019","2819"
,,,,,,"1978","2019","3341"
,,,,,,"2009","2019","1955"
,,,,,,"1978","2019","3332"
,,,,,,"1978","2019","2219"
,,,,,,"1994","2019","1039"
,,,,,,"1978","2019","2127"
,,,,,,"1994","2019","1039"
,,,,,,"2009","2019","2850"
,,,,,,"1978","2019","2241"
,,,,,,"1978","2019","2132"
,,,,,,"1978","2019","2219"
,,,,,,"1978","1993","2851"
,,,,,,"1978","2019","1041"
,,,,,,"2017","2019","4662"
,,,,,,"2009","2019","2119"
,,,,,,"1978","1993","2851"
,,,,,,"1978","2019","3362"
,,,,,,"1986","2019","3162"
,,,,,,"1978","2019","3563"
,,,,,,"2009","2019","1044"
,,,,,,"1978","2019","2808"
,,,,,,"1978","2019","3330"
,,,,,,"1978","2019","3567"
,,,,,,"2015","2016","4659"
70329,12337669-d7d1-6b98-e053-d480220a5a3f,Kindvig Enge,01-01-2024,"0","0","1978","2019","1957"
,,,,,,"1978","2019","3563"
,,,,,,"2007","2019","4136"
,,,,,,"1978","2008","3568"
,,,,,,"1978","2019","3567"
,,,,,,"1978","2019","4686"
,,,,,,"1978","2019","3331"
,,,,,,"1978","2019","2241"
,,,,,,"1978","2019","3427"
,,,,,,"1978","2019","3334"
,,,,,,"1978","2019","1041"
,,,,,,"1978","2019","1043"
,,,,,,"2017","2019","2020"
,,,,,,"1978","2019","2056"
,,,,,,"1978","2019","1941"
,,,,,,"1995","2019","1062"
,,,,,,"1978","2019","3426"
,,,,,,"1978","2019","3340"
,,,,,,"2006","2019","2939"
,,,,,,"1978","2019","2074"
,,,,,,"1978","2019","3334"
,,,,,,"1978","2019","3169"
,,,,,,"1978","2019","3177"
,,,,,,"2010","2019","2869"
,,,,,,"2009","2019","1969"
,,,,,,"2008","2019","2008"
,,,,,,"1995","2019","1062"
,,,,,,"1992","2019","1933"
,,,,,,"1978","2019","3564"
,,,,,,"1978","2019","1047"
,,,,,,"1978","2019","3331"
,,,,,,"1978","2019","2887"
,,,,,,"1978","2019","2694"
,,,,,,"1978","2019","2230"
,,,,,,"2010","2019","2035"
,,,,,,"1978","2019","2083"
,,,,,,"1978","2019","3172"
,,,,,,"1978","2019","2240"
,,,,,,"1978","2019","2056"
,,,,,,"1978","2019","2219"
,,,,,,"1978","2019","3183"
,,,,,,"1978","1993","2851"
,,,,,,"1978","2016","3359"
,,,,,,"1995","2019","1062"
,,,,,,"1978","2019","2854"
,,,,,,"2015","2016","4659"
,,,,,,"1978","2019","3564"
,,,,,,"1978","2019","3176"
,,,,,,"1978","2019","3361"
,,,,,,"1978","2000","2239"
,,,,,,"1978","2019","2817"
,,,,,,"2017","2019","2020"
,,,,,,"1978","2019","2132"
,,,,,,"1978","2019","2240"
,,,,,,"1986","2019","3162"
,,,,,,"1997","2019","2063"
,,,,,,"1978","2019","2219"
,,,,,,"1978","2019","2219"
,,,,,,"1997","2019","2063"
,,,,,,"1995","2019","1062"
,,,,,,"1978","2019","2039"
,,,,,,"1978","2019","1942"
,,,,,,"1978","2019","1967"
,,,,,,"1978","2019","2107"
,,,,,,"1978","2019","2091"
,,,,,,"1986","2019","3162"
,,,,,,"2008","2019","2008"
,,,,,,"1978","2019","2946"
,,,,,,"1997","2019","2063"
,,,,,,"1978","2019","3330"
,,,,,,"1978","2019","2230"
,,,,,,"1978","2019","3333"
,,,,,,"1978","2019","3564"
,,,,,,"1978","2019","2062"
,,,,,,"1989","2019","3175"
,,,,,,"1978","2019","2231"
,,,,,,"1978","2019","2133"
,,,,,,"1978","2019","3546"
,,,,,,"1978","2019","2230"
,,,,,,"1978","2006","3156"
,,,,,,"1978","2019","2810"
,,,,,,"1986","2019","3162"
,,,,,,"2010","2019","2035"
,,,,,,"1978","2019","2905"
,,,,,,"2009","2019","1044"
,,,,,,"1978","2019","2702"
,,,,,,"1978","2019","3565"
,,,,,,"2005","2019","2126"
,,,,,,"1978","2019","2032"
,,,,,,"2017","2019","4676"
,,,,,,"1978","2019","2219"
,,,,,,"2009","2019","1969"
,,,,,,"2009","2019","1955"
,,,,,,"1978","2019","2127"
,,,,,,"1978","2019","3334"
,,,,,,"2010","2019","2930"
,,,,,,"1978","2019","3347"
,,,,,,"2009","2019","2850"
,,,,,,"1978","2019","3169"
,,,,,,"2017","2019","3392"
,,,,,,"1978","2019","1047"
,,,,,,"1978","2019","3567"
,,,,,,"1997","2019","2063"
,,,,,,"1986","2019","3162"
,,,,,,"2015","2016","4659"
,,,,,,"1995","2019","1062"
,,,,,,"1978","2019","3356"
,,,,,,"1978","2019","2231"
,,,,,,"1978","2000","2239"
,,,,,,"1978","2019","2098"
,,,,,,"1978","2019","3381"
,,,,,,"1997","2019","2063"
,,,,,,"1978","2019","2950"
,,,,,,"1997","2019","2951"
,,,,,,"1978","2019","2022"
,,,,,,"1978","2000","2239"
,,,,,,"1978","2019","3569"
,,,,,,"1978","2019","2241"
,,,,,,"1986","2019","3162"
,,,,,,"1995","2019","1062"
,,,,,,"1978","2019","2074"
,,,,,,"1978","2019","3183"
,,,,,,"1978","2019","2062"
,,,,,,"1978","2019","3564"
,,,,,,"1978","2019","2098"
,,,,,,"1978","2019","2026"
,,,,,,"2008","2019","3154"
,,,,,,"2010","2019","2869"
,,,,,,"1987","2019","2943"
,,,,,,"1978","2019","2062"
,,,,,,"1978","2019","3393"
,,,,,,"1978","2019","3331"
,,,,,,"2015","2016","4659"
,,,,,,"1978","2019","2076"
,,,,,,"1978","2002","2106"
,,,,,,"1978","2019","3170"
,,,,,,"1978","2019","2822"
,,,,,,"2013","2019","3157"
,,,,,,"1978","2019","3563"
,,,,,,"2017","2019","3392"
,,,,,,"1978","2019","2230"
,,,,,,"1978","2019","3161"
,,,,,,"1978","2019","3183"
,,,,,,"1995","2019","1062"
,,,,,,"1978","2019","3361"
,,,,,,"1978","2019","2032"
,,,,,,"1978","2019","2114"
,,,,,,"1978","2019","2010"
,,,,,,"1978","2019","1047"
,,,,,,"2010","2019","2930"
,,,,,,"1978","2019","3330"
,,,,,,"1995","2019","1062"
,,,,,,"1978","2019","3177"
,,,,,,"1992","2019","2029"
,,,,,,"1978","2019","3424"
,,,,,,"1978","2019","3183"
,,,,,,"1978","2006","3156"
,,,,,,"2000","2019","1995"
,,,,,,"1978","2019","1934"
,,,,,,"2007","2019","2265"
,,,,,,"1978","2019","2231"
,,,,,,"1994","2019","1039"
,,,,,,"2011","2019","3387"
,,,,,,"1995","2019","1062"
,,,,,,"1997","2019","2063"
,,,,,,"1978","2019","2242"
,,,,,,"1978","2019","2821"
,,,,,,"1978","2019","2038"
,,,,,,"1978","2019","2219"
,,,,,,"1978","2019","3169"
,,,,,,"1978","2019","3174"
,,,,,,"2010","2019","2035"
,,,,,,"1995","2019","1062"
,,,,,,"1978","2019","3330"
,,,,,,"2008","2019","2008"
,,,,,,"1978","2019","2219"
,,,,,,"1978","2019","2038"
,,,,,,"1978","2000","2239"
,,,,,,"1978","2019","3381"
,,,,,,"2010","2019","2869"
,,,,,,"2004","2019","2921"
,,,,,,"1978","2000","2239"
,,,,,,"1978","2019","3565"
,,,,,,"1978","2019","3564"
,,,,,,"1995","2019","1062"
,,,,,,"1978","2019","3566"
,,,,,,"1978","2019","2241"
,,,,,,"1978","2019","3330"
,,,,,,"1978","2019","3330"
,,,,,,"1978","2019","3347"
,,,,,,"1978","2019","2023"
,,,,,,"2009","2019","1969"
,,,,,,"1978","2019","2240"
,,,,,,"1978","2019","3564"
,,,,,,"1978","2019","3569"
,,,,,,"1978","2019","3169"
,,,,,,"2009","2019","1969"
,,,,,,"1978","2019","3341"
,,,,,,"1978","2019","3331"
,,,,,,"1978","2019","3547"
,,,,,,"1978","2019","2221"
,,,,,,"1978","2019","3169"
,,,,,,"1978","2019","4266"
,,,,,,"1995","2019","1062"
,,,,,,"1978","2019","1942"
,,,,,,"2017","2019","4205"
,,,,,,"2010","2019","2930"
,,,,,,"1988","2019","2019"
,,,,,,"2017","2019","3392"
,,,,,,"1978","2019","1942"
,,,,,,"1978","2019","1065"
,,,,,,"2010","2019","2035"
,,,,,,"1978","2008","3568"
,,,,,,"1978","2019","2041"
