WSAID	PLANTID	start	end
4662	104435	2017	2019
4662	104438	2017	2019
4662	104813	2017	2019
4662	104814	2017	2019
4662	104815	2017	2019
4662	104817	2017	2019
4662	104818	2017	2019
4662	104819	2017	2019
4662	104822	2017	2019
4662	104836	2017	2019
4662	104837	2017	2019
4662	104839	2017	2019
4662	104840	2017	2019
4662	104841	2017	2019
4662	104843	2017	2019
4662	104844	2017	2019
4662	104845	2017	2019
4662	104847	2017	2019
4662	104848	2017	2019
4662	104850	2017	2019
4662	104851	2017	2019
4662	104852	2017	2019
4662	104855	2017	2019
4662	104856	2017	2019
4662	104857	2017	2019
4662	104858	2017	2019
4663	104817	1978	2006
4663	104822	1978	2006
4663	104839	1978	2006
4664	104818	1978	2006
4664	104840	1978	2006
4665	104813	1991	1997
4665	104814	1991	1997
4665	104815	1991	1997
4665	104819	1991	1997
4665	104836	1991	1997
4665	104837	1991	1997
4665	104841	1991	1997
4665	104843	1991	1997
4665	104844	1991	1997
4665	104845	1991	1997
4665	104847	1991	1997
4665	104851	1991	1997
4665	104852	1991	1997
4665	104855	1991	1997
4665	104856	1991	1997
4665	104857	1991	1997
4665	104858	1991	1997
4666	22785	1978	1997
4666	104848	1978	1997
4666	104850	1978	1997
4667	104813	1989	1990
4667	104814	1989	1990
4667	104815	1989	1990
4667	104819	1989	1990
4667	104836	1989	1990
4667	104837	1989	1990
4667	104841	1989	1990
4667	104843	1989	1990
4667	104844	1989	1990
4667	104845	1989	1990
4667	104847	1989	1990
4667	104851	1989	1990
4667	104852	1989	1990
4667	104858	1989	1990
4668	104857	1978	1990
4669	104855	1978	1990
4669	104856	1978	1990
4670	104813	1978	1988
4670	104814	1978	1988
4670	104815	1978	1988
4670	104819	1978	1988
4670	104836	1978	1988
4670	104837	1978	1988
4670	104841	1978	1988
4670	104843	1978	1988
4670	104844	1978	1988
4670	104845	1978	1988
4670	104847	1978	1988
4670	104851	1978	1988
4670	104852	1978	1988
4671	104858	1978	1988
4672	104195	1978	1995
4672	104814	1978	1995
4672	104815	1978	1995
4673	104222	1978	1995
4674	83434	2001	2019
4674	106293	2001	2019
4674	106294	2001	2019
4674	120679	2001	2019
4674	120680	2001	2019
4675	83434	1978	2000
4676	12527	2017	2019
4676	31559	2017	2019
4676	106226	2017	2019
4676	106227	2017	2019
4676	106228	2017	2019
4676	106229	2017	2019
4676	106230	2017	2019
4676	106493	2017	2019
4677	106229	2014	2016
4677	106493	2014	2016
4678	104680	2003	2019
4678	104688	2003	2019
4678	104689	2003	2019
4679	20059	2013	2019
4679	28315	2013	2019
4679	106348	2013	2019
4680	25132	2009	2019
4680	106241	2009	2019
4680	106242	2009	2019
4680	106243	2009	2019
4680	106244	2009	2019
4680	107030	2009	2019
4682	26790	1978	2019
4682	106347	1978	2019
4683	106250	1978	2019
4690	27390	1978	2019
4690	106322	1978	2019
4691	103865	1978	2016
4692	81132	1978	1986
4692	82540	1978	1986
4692	82543	1978	1986
4692	82545	1978	1986
4692	82546	1978	1986
4692	82547	1978	1986
4692	82548	1978	1986
4692	82549	1978	1986
1800	77919	1978	2019
3363	106729	1978	2019
3363	25132	1978	2019
3364	106731	1978	2019
3364	106730	1978	2019
3470	126571	1978	2019
3472	70260	1978	2019
3473	70246	1978	2019
3560	44357	1978	2019
3560	30632	1978	2019
3560	4230	1978	2019
3560	2065	1978	2019
3560	3957	1978	2019
3560	28315	1978	2019
3560	20059	1978	2019
3560	26790	1978	2019
3561	28132	1978	2019
3561	26790	1978	2019
